SKU,FD1ToFD14Units,ML14DayForecastUnits,Recent14DayUnits,SelectedByMLThreshold,RecentFallbackWeight
82718-65Z-100,77,76.65805945711973,32.0699273538185,True,0.0
83077-3F3-120,77,76.59284323780372,0.0,True,0.0
83403-5MK-75,77,77.45643863093298,59.88056748095799,True,0.0
84460-6GW-90,77,76.85636260553403,128.279709415274,True,0.0
84082-6AN-130,76,75.67136186033568,100.97016190303795,True,0.0
84349-5VS-130,76,75.50368904268889,8.268028145906333,True,0.0
84428-6GQ-120,76,75.86285574913363,104.97890282226527,True,0.0
84460-5ZO-90,76,75.62700956306452,191.6679252005559,True,0.0
58660-4NA-XS,75,75.07711884979034,119.76113496191599,True,0.0
82718-65Z-120,75,75.1894180456136,43.34451118914532,True,0.0
82718-6GW-130,75,75.2594279311557,24.804084437719,True,0.0
82788-5XH-110,75,75.03714575442959,84.9351982261287,True,0.0
83077-3F3-110,75,75.06330775481894,0.0,True,0.0
83992-5DD-60,75,75.48498780835487,0.0,True,0.0
84434-65K-130,75,75.05594422810563,96.20978206145551,True,0.0
84553-5ZO-70,75,75.18006104920232,99.96797667323112,True,0.0
84561-48B-85,75,74.88266267657094,71.65624393118821,True,0.0
84603-5KS-120,75,74.50918969580903,45.098335341307276,True,0.0
82453-2KD-85,74,73.88566830849753,0.0,True,0.0
82719-5XD-90,74,74.17878939085756,34.07429781343216,True,0.0
82778-5HB-120,74,74.0848060526809,65.89367885979895,True,0.0
82788-5XF-110,74,73.78993747124576,65.64313255234725,True,0.0
82788-6GT-110,74,73.69165373177927,46.1005205711141,True,0.0
82808-1CP-150,74,73.89137192003224,0.0,True,0.0
83117-1SE-120,74,74.49510410783516,0.0,True,0.0
84460-5ZU-110,74,73.8312649742626,237.5178994642183,True,0.0
84528-1SA-130,74,74.17425934231214,50.10926149034142,True,0.0
84553-64J-70,74,74.28000297739773,87.19011499319407,True,0.0
84641-60J-100,74,74.08809659425708,45.348881648758976,True,0.0
67848-5ZE-130,73,73.35651804575525,82.17918884415991,True,0.0
82449-247-110,73,73.18479532663154,0.0,True,0.0
82717-5XW-75,73,72.5021495922633,48.856529953082884,True,0.0
82777-5HB-120,73,72.54869622362531,71.90679023863993,True,0.0
82788-6DC-110,73,72.74785743908942,58.126743328796046,True,0.0
84505-5ZY-130,73,73.14275588176608,47.35325210837264,True,0.0
58663-011-M,72,72.40959575885877,84.18355930377358,True,0.0
67563-A91-120,72,71.93809493947106,63.3882157852819,True,0.0
80617-5ZU-75,72,71.824068471813,109.23819004894429,True,0.0
82718-5XD-130,72,72.28970130289787,36.32921458049753,True,0.0
82721-5ZU-120,72,72.13491866803088,44.34669641895215,True,0.0
82788-6EX-120,72,72.08931346418463,56.6234654840858,True,0.0
82897-1SA-110,72,71.69746291123768,61.13329901821652,True,0.0
83000-1SA-70,72,71.8720821519683,67.1464103970575,True,0.0
84460-65Z-120,72,71.58783311305075,208.20398149236857,True,0.0
84525-6AW-S,72,72.12050778183313,40.33795549972484,True,0.0
84538-6GW-80,72,71.66619772313956,51.36199302759995,True,0.0
84544-68I-80,72,72.09929028161977,44.34669641895215,True,0.0
84662-1NV-100,72,72.40959575885877,121.01386649917453,True,0.0
67522-5SB-120,71,71.02202937958852,80.42536469199797,True,0.0
82717-6GW-75,71,71.02202937958852,40.839048114628255,True,0.0
82721-6GW-130,71,71.28604554446393,38.58413134756289,True,0.0
82788-5XD-120,71,71.02202937958852,48.856529953082884,True,0.0
83110-44B-90,71,70.52838432422423,0.0,True,0.0
83519-4MT-85,71,71.41220224735768,0.0,True,0.0
84348-5VS-120,71,71.07048020479337,21.797528748298518,True,0.0
84426-68I-75,71,70.97193547639694,51.11144672014824,True,0.0
84432-6FN-75,71,71.358610843733,71.40569762373651,True,0.0
84434-6AT-140,71,71.40225636912899,67.39695670450921,True,0.0
84628-6GV-130,71,71.40154825037905,106.73272697442721,True,0.0
84662-1NV-110,71,70.713349479035,176.13405413855008,True,0.0
82731-5XA-70,70,70.19017684349508,62.88712317037847,True,0.0
82778-5HO-110,70,69.52457821503404,99.46688405832771,True,0.0
84087-5LW-60,70,69.94201140460918,0.0,True,0.0
84338-5VS-110,70,69.93060727801897,15.53387106200584,True,0.0
84460-64A-100,70,70.41546317354613,105.73054174462038,True,0.0
