SKU,DirectPickLookbackUnits,DirectPickDemandDays,DailyBaseUnits,WeeklyBaseUnits,ValidReservationUnits,ReservationPhysicalTotal,ReservationSalesAllocatedPhysicalTotal,InboundTotalUnits,InboundNext14Units,InboundNext30Units,HasDirectPickHistory,HasValidReservation,HasInbound,Future14DayPromoDays,FutureWeeklyPromoWeeks,HasFuturePromo,FD1ToFD14Units,First13WeekUnits
30810-1FL-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-1FL-XL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-1FL-XS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-1FL-XXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-TB4-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30810-TB4-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30810-TB4-XL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30810-TB4-XS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30810-TB4-XXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30991,18.0,13.0,0.32142857142857145,2.25,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,0,False,5,29.25
33080-GQ6-60,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
33081-GN1-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33081-GN1-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33081-GN1-70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33081-GN1-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33081-GN1-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33081-GN1-85,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
33081-GN1-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33081-NW2-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33081-QE1-70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33081-QE1-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33081-QE1-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33081-QE1-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33081-S74-80,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
33081-TB4-70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33081-TB4-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33081-TD4-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33081-U74-70,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
33081-U74-85,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
33175-011-100,10.0,9.0,0.17857142857142858,1.25,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,8,37.0
