Candidate,Windows,ForecastUnits,SoldUnits,AbsErrorUnits,ZeroForecastSoldUnits,OvergeneratedZeroDemandUnits,MissedHighVolumeUnitsSoldGE10,AvgForecastedSKUs,AvgSoldUnitForecastCoveragePct,WAPE,BiasUnitsForecastMinusActual,BiasPctForecastMinusActual,ZeroForecastSoldUnitPct
hybrid_ml_cold_start_calibrated_min_1p0_units_recent_w0p1_cap_recent_x0p85,26,1071589.5291684163,6174617.0,5790688.643070265,174830.0,92935.34359489143,82941.0,16471.884615384617,0.9657049476310396,0.9378215107220844,-5103027.470831584,-0.826452469980176,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_1p0_units_recent_w0p1_cap_recent_x1p0,26,1071589.5291684163,6174617.0,5790688.643070265,174830.0,92935.34359489143,82941.0,16471.884615384617,0.9657049476310396,0.9378215107220844,-5103027.470831584,-0.826452469980176,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_1p0_units_recent_w0p1_cap_recent_x1p1,26,1071589.5291684163,6174617.0,5790688.643070265,174830.0,92935.34359489143,82941.0,16471.884615384617,0.9657049476310396,0.9378215107220844,-5103027.470831584,-0.826452469980176,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_1p0_units_recent_w0p1_cap_recent_x1p25,26,1071589.5291684163,6174617.0,5790688.643070265,174830.0,92935.34359489143,82941.0,16471.884615384617,0.9657049476310396,0.9378215107220844,-5103027.470831584,-0.826452469980176,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_10p0_units_recent_w0p1,26,1071551.8897825454,6174617.0,5790709.786701787,174830.0,92927.09571771722,82941.0,16471.80769230769,0.9657049476310396,0.9378249350043553,-5103065.110217455,-0.8264585658053698,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_10p0_units_recent_w0p1_cap_recent_x0p85,26,1071551.8897825454,6174617.0,5790709.786701787,174830.0,92927.09571771722,82941.0,16471.80769230769,0.9657049476310396,0.9378249350043553,-5103065.110217455,-0.8264585658053698,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_10p0_units_recent_w0p1_cap_recent_x1p0,26,1071551.8897825454,6174617.0,5790709.786701787,174830.0,92927.09571771722,82941.0,16471.80769230769,0.9657049476310396,0.9378249350043553,-5103065.110217455,-0.8264585658053698,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_10p0_units_recent_w0p1_cap_recent_x1p1,26,1071551.8897825454,6174617.0,5790709.786701787,174830.0,92927.09571771722,82941.0,16471.80769230769,0.9657049476310396,0.9378249350043553,-5103065.110217455,-0.8264585658053698,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_10p0_units_recent_w0p1_cap_recent_x1p25,26,1071551.8897825454,6174617.0,5790709.786701787,174830.0,92927.09571771722,82941.0,16471.80769230769,0.9657049476310396,0.9378249350043553,-5103065.110217455,-0.8264585658053698,0.028314306782104864
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p05,26,491306.8373539396,6174617.0,5867722.4588119,174830.0,45175.064993105145,82941.0,16471.03846153846,0.9657049476310396,0.9502973963910474,-5683310.162646061,-0.9204312045016008,0.028314306782104864
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p05_cap_recent_x0p85,26,491306.8373539396,6174617.0,5867722.4588119,174830.0,45175.064993105145,82941.0,16471.03846153846,0.9657049476310396,0.9502973963910474,-5683310.162646061,-0.9204312045016008,0.028314306782104864
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p05_cap_recent_x1p0,26,491306.8373539396,6174617.0,5867722.4588119,174830.0,45175.064993105145,82941.0,16471.03846153846,0.9657049476310396,0.9502973963910474,-5683310.162646061,-0.9204312045016008,0.028314306782104864
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p05_cap_recent_x1p1,26,491306.8373539396,6174617.0,5867722.4588119,174830.0,45175.064993105145,82941.0,16471.03846153846,0.9657049476310396,0.9502973963910474,-5683310.162646061,-0.9204312045016008,0.028314306782104864
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p05_cap_recent_x1p25,26,491306.8373539396,6174617.0,5867722.4588119,174830.0,45175.064993105145,82941.0,16471.03846153846,0.9657049476310396,0.9502973963910474,-5683310.162646061,-0.9204312045016008,0.028314306782104864
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05,26,492046.9804556076,6174617.0,5867973.321283202,174830.0,45547.77001234297,82941.0,16471.80769230769,0.9657049476310396,0.950338024412397,-5682570.019544393,-0.9203113358357924,0.028314306782104864
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05_cap_recent_x0p85,26,492046.9804556076,6174617.0,5867973.321283202,174830.0,45547.77001234297,82941.0,16471.80769230769,0.9657049476310396,0.950338024412397,-5682570.019544393,-0.9203113358357924,0.028314306782104864
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05_cap_recent_x1p0,26,492046.9804556076,6174617.0,5867973.321283202,174830.0,45547.77001234297,82941.0,16471.80769230769,0.9657049476310396,0.950338024412397,-5682570.019544393,-0.9203113358357924,0.028314306782104864
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05_cap_recent_x1p1,26,492046.9804556076,6174617.0,5867973.321283202,174830.0,45547.77001234297,82941.0,16471.80769230769,0.9657049476310396,0.950338024412397,-5682570.019544393,-0.9203113358357924,0.028314306782104864
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05_cap_recent_x1p25,26,492046.9804556076,6174617.0,5867973.321283202,174830.0,45547.77001234297,82941.0,16471.80769230769,0.9657049476310396,0.950338024412397,-5682570.019544393,-0.9203113358357924,0.028314306782104864
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p05,26,492055.22833278176,6174617.0,5867981.569160376,174830.0,45556.01788951717,82941.0,16471.884615384617,0.9657049476310396,0.9503393601838585,-5682561.771667218,-0.9203100000643307,0.028314306782104864
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p05_cap_recent_x0p85,26,492055.22833278176,6174617.0,5867981.569160376,174830.0,45556.01788951717,82941.0,16471.884615384617,0.9657049476310396,0.9503393601838585,-5682561.771667218,-0.9203100000643307,0.028314306782104864
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p05_cap_recent_x1p0,26,492055.22833278176,6174617.0,5867981.569160376,174830.0,45556.01788951717,82941.0,16471.884615384617,0.9657049476310396,0.9503393601838585,-5682561.771667218,-0.9203100000643307,0.028314306782104864
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p05_cap_recent_x1p1,26,492055.22833278176,6174617.0,5867981.569160376,174830.0,45556.01788951717,82941.0,16471.884615384617,0.9657049476310396,0.9503393601838585,-5682561.771667218,-0.9203100000643307,0.028314306782104864
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p05_cap_recent_x1p25,26,492055.22833278176,6174617.0,5867981.569160376,174830.0,45556.01788951717,82941.0,16471.884615384617,0.9657049476310396,0.9503393601838585,-5682561.771667218,-0.9203100000643307,0.028314306782104864
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05,26,492015.78894691076,6174617.0,5868004.512791898,174830.0,45547.77001234297,82941.0,16471.80769230769,0.9657049476310396,0.9503430759821861,-5682601.211053089,-0.9203163874055814,0.028314306782104864
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x0p85,26,492015.78894691076,6174617.0,5868004.512791898,174830.0,45547.77001234297,82941.0,16471.80769230769,0.9657049476310396,0.9503430759821861,-5682601.211053089,-0.9203163874055814,0.028314306782104864
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x1p0,26,492015.78894691076,6174617.0,5868004.512791898,174830.0,45547.77001234297,82941.0,16471.80769230769,0.9657049476310396,0.9503430759821861,-5682601.211053089,-0.9203163874055814,0.028314306782104864
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x1p1,26,492015.78894691076,6174617.0,5868004.512791898,174830.0,45547.77001234297,82941.0,16471.80769230769,0.9657049476310396,0.9503430759821861,-5682601.211053089,-0.9203163874055814,0.028314306782104864
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x1p25,26,492015.78894691076,6174617.0,5868004.512791898,174830.0,45547.77001234297,82941.0,16471.80769230769,0.9657049476310396,0.9503430759821861,-5682601.211053089,-0.9203163874055814,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_20p0_units_recent_w0p05,26,624763.0371226191,6174617.0,5972862.577673384,174830.0,49523.06487355232,82941.0,16471.615384615383,0.9657049476310396,0.9673251924246288,-5549853.962877381,-0.8988175238848629,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_20p0_units_recent_w0p05_cap_recent_x0p85,26,624763.0371226191,6174617.0,5972862.577673384,174830.0,49523.06487355232,82941.0,16471.615384615383,0.9657049476310396,0.9673251924246288,-5549853.962877381,-0.8988175238848629,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_20p0_units_recent_w0p05_cap_recent_x1p0,26,624763.0371226191,6174617.0,5972862.577673384,174830.0,49523.06487355232,82941.0,16471.615384615383,0.9657049476310396,0.9673251924246288,-5549853.962877381,-0.8988175238848629,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_20p0_units_recent_w0p05_cap_recent_x1p1,26,624763.0371226191,6174617.0,5972862.577673384,174830.0,49523.06487355232,82941.0,16471.615384615383,0.9657049476310396,0.9673251924246288,-5549853.962877381,-0.8988175238848629,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_20p0_units_recent_w0p05_cap_recent_x1p25,26,624763.0371226191,6174617.0,5972862.577673384,174830.0,49523.06487355232,82941.0,16471.615384615383,0.9657049476310396,0.9673251924246288,-5549853.962877381,-0.8988175238848629,0.028314306782104864
