Division,Department,Class,KeyCategoryView,Sale2025Units,Baseline2025Units,Baseline2025DailyUnits,BaselineExpected2025Units,CategoryLift2025,CurrentBaselineUnits,CurrentBaselineObservedDays,CurrentBaselineDailyUnits,DirectPickLiftProjection,CurrentPromoSkuDays,CurrentPromoSKUs,CurrentMaxDiscount,CurrentAvgDiscount,CurrentPDLAvailInv,hybrid_ml_raw_min20_recent_w0p05,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,hybrid_ml_raw_min20_recent_w0p1,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,recent_no_ml_no_promo_floor,GapVsHybrid10Cap085,ProjectionToHybridRatio
Adult Sleep,S AU sleepwear,S AU misc,Sleep,6.0,3.0,0.1111111111111111,1.5555555555555554,3.8571428571428577,6.0,28.0,0.21428571428571427,11.571428571428573,154.0,20.0,0.5001,0.3909727272727273,6.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,5.969109087507337,-16.428571428571427,0.41326530612244905
Baby Apparel,Bby 1pc,Bby LS 1pc,1pc,120.0,101.0,3.740740740740741,52.370370370370374,2.2913719943422914,164.0,28.0,5.857142857142857,187.8925035360679,924.0,122.0,0.7000000000000001,0.4799023998004903,919.0,204.0,204.0,204.0,204.0,207.0,207.0,207.0,207.0,96.74930979334808,-19.107496463932108,0.9076932537974294
Boys,B sweater,B swtr cardigan,Sweater,2.0,15.0,0.5555555555555556,7.777777777777779,0.2571428571428571,95.0,28.0,3.392857142857143,12.214285714285714,448.0,64.0,0.7000000000000001,0.7000000000000001,355.0,29.0,29.0,29.0,29.0,36.0,36.0,36.0,36.0,69.14218026362664,-23.785714285714285,0.33928571428571425
Collab Apparel,C Girl,C G top,Collab Girl,41.0,73.0,2.7037037037037037,37.851851851851855,1.083170254403131,0.0,0.0,0.0,0.0,112.0,16.0,0.0,0.0,0.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0,-24.0,0.0
Collab Apparel,C Baby,C Bby 1pc,Collab Baby,319.0,255.0,9.444444444444445,132.22222222222223,2.4126050420168066,0.0,0.0,0.0,0.0,91.0,13.0,0.0,0.0,0.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.248712878646139,-28.0,0.0
Baby Accessories,BA hats,BA sweater hat,Accessories,23.0,22.0,0.8148148148148148,11.407407407407407,2.0162337662337664,0.0,0.0,0.0,0.0,49.0,7.0,0.7000000000000001,0.7000000000000001,2.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,-28.0,0.0
Adult Apparel,O unisex apparel,O unisex apparel top,Top,0.0,1.0,0.037037037037037035,0.5185185185185185,0.0,14.0,28.0,0.5,0.0,280.0,33.0,0.6000000000000001,0.3280952380952381,2003.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,13.927921204183786,-28.0,0.0
Collab Apparel,C Baby-Toddler,C BT swimwear,Collab Baby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7.0,0.52,0.52,224.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,12.43564393230695,-28.0,0.0
Collab Accessories,CA misc,CA misc sock-tight,Collab Access,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,8.0,0.5003846153846154,0.5003846153846154,3.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,-28.0,0.0
Kids Unisex,KU sweater,KU swtr cardigan,Sweater,3.0,0.0,0.0,0.0,0.0,1.0,28.0,0.03571428571428571,0.0,112.0,16.0,0.0,0.0,0.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.746138635938417,-28.0,0.0
Collab Apparel,C Boy,C B jkt-vest,Collab Boy,0.0,2.0,0.07407407407407407,1.037037037037037,0.0,24.0,28.0,0.8571428571428571,0.0,21.0,3.0,0.5,0.5,66.0,28.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,8.953663631261005,-29.0,0.0
Baby Accessories,BA hats,BA sun hat,Accessories,743.0,567.0,21.0,294.0,2.5272108843537415,0.0,0.0,0.0,0.0,28.0,4.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,-29.0,0.0
Baby Apparel,Bby outerwear,Bby OW,Outerwear,9.0,262.0,9.703703703703704,135.85185185185185,0.06624863685932389,33.0,28.0,1.1785714285714286,1.0931025081788441,273.0,34.0,0.6000000000000001,0.49705882352941183,1482.0,28.0,28.0,28.0,28.0,31.0,31.0,31.0,31.0,29.348119680244405,-29.906897491821155,0.03526137123157562
Kids Unisex,KU top,KU SL top,Top,0.0,0.0,0.0,0.0,0.0,359.0,28.0,12.821428571428571,0.0,112.0,16.0,0.48,0.48,98.0,15.0,15.0,15.0,15.0,31.0,31.0,31.0,31.0,290.4966422586904,-31.0,0.0
Kids Accessories,KA hats,KA sun hat,Accessories,1111.0,1627.0,60.25925925925926,843.6296296296297,1.3169286153305821,30.0,28.0,1.0714285714285714,19.753929229958732,84.0,12.0,0.53,0.53,28.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,18.15604014116815,-33.24607077004127,0.372715645848278
Collab Apparel,C Boy,C B set,Collab Boy,0.0,0.0,0.0,0.0,0.0,125.0,28.0,4.464285714285714,0.0,96.0,8.0,0.5001249999999999,0.5001041666666666,652.0,32.0,32.0,32.0,32.0,39.0,39.0,39.0,39.0,104.4594090313784,-39.0,0.0
Collab Apparel,C Boy,C B jkt/vest,Collab Boy,1.0,8.0,0.2962962962962963,4.148148148148148,0.24107142857142858,0.0,0.0,0.0,0.0,35.0,5.0,0.5,0.5,66.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,0.0,-42.0,0.0
Other,S Pet Johns,S pet johns stripe,Sleep,131.0,64.0,2.3703703703703702,33.18518518518518,3.9475446428571432,0.0,0.0,0.0,0.0,175.0,25.0,0.0,0.0,0.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,1.492277271876834,-43.0,0.0
Collab Apparel,C Girl,C G skirt,Collab Girl,38.0,41.0,1.5185185185185186,21.25925925925926,1.7874564459930313,13.0,28.0,0.4642857142857143,11.618466898954704,224.0,32.0,0.6000000000000001,0.6000000000000002,0.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,9.202376509907143,-47.38153310104529,0.1969231677788933
Adult Apparel,O womens apparel,O womens apparel top,Top,21.0,106.0,3.925925925925926,54.96296296296296,0.38207547169811323,69.0,28.0,2.4642857142857144,13.181603773584907,224.0,32.0,0.49,0.48999999999999994,146.0,58.0,58.0,58.0,58.0,62.0,62.0,62.0,62.0,51.23485300110464,-48.81839622641509,0.21260651247717594
Kids Accessories,KA hats,KA sweater hat,Accessories,0.0,0.0,0.0,0.0,0.0,4.0,28.0,0.14285714285714285,0.0,56.0,8.0,0.0,0.0,0.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,0.994851514584556,-56.0,0.0
Girls,G sets,G LS set,Set,0.0,0.0,0.0,0.0,0.0,675.0,28.0,24.107142857142858,0.0,462.0,66.0,0.6068539325842697,0.5222558168192053,919.0,34.0,34.0,34.0,34.0,56.0,56.0,56.0,56.0,311.6372369436122,-56.0,0.0
Collab Apparel,C Girl,C G short,Collab Girl,0.0,0.0,0.0,0.0,0.0,212.0,28.0,7.571428571428571,0.0,112.0,8.0,0.2,0.2,559.0,53.0,53.0,53.0,53.0,57.0,57.0,57.0,57.0,52.72713027298147,-57.0,0.0
Collab Apparel,C Baby-Toddler,C BT pant,Collab Baby,0.0,0.0,0.0,0.0,0.0,73.0,28.0,2.607142857142857,0.0,35.0,5.0,0.5,0.5,467.0,56.0,56.0,56.0,56.0,59.0,59.0,59.0,59.0,54.96554618079672,-59.0,0.0
Collab Apparel,C Kids Unisex,C KU jkt/vest,Collab Kids Uni,167.0,189.0,7.0,98.0,1.7040816326530612,0.0,0.0,0.0,0.0,154.0,22.0,0.7000000000000001,0.7000000000000001,210.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,0.0,-59.0,0.0
Collab Apparel,C Adult,C Womens,Collab Adult,1.0,3.0,0.1111111111111111,1.5555555555555554,0.6428571428571429,1.0,28.0,0.03571428571428571,0.32142857142857145,84.0,12.0,0.2,0.2,166.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,9.699802267199422,-63.67857142857143,0.005022321428571429
Baby Apparel,Bby top,Bby SL top,Top,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,-70.0,0.0
Baby Accessories,BA hats,BA pilot/knot hat,Accessories,258.0,221.0,8.185185185185185,114.5925925925926,2.251454427925016,3.0,28.0,0.10714285714285714,3.3771816418875242,70.0,9.0,0.7000000000000001,0.6450000000000001,1364.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,7.4613863593841705,-74.62281835811248,0.04329720053701954
Collab Sleepwear,CS W sleep,CS W SJ,Sleep,74.0,46.0,1.7037037037037037,23.85185185185185,3.1024844720496896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,0.0,-84.0,0.0
Collab Apparel,C Baby-Toddler,C BT set,Collab Baby,0.0,3.0,0.1111111111111111,1.5555555555555554,0.0,625.0,28.0,22.321428571428573,0.0,491.0,53.0,0.7000000000000001,0.3640431253170979,1357.0,68.0,68.0,68.0,68.0,86.0,86.0,86.0,86.0,304.92198922016644,-86.0,0.0
Kids Unisex,KU sweater,KU swtr pullover,Sweater,0.0,9.0,0.3333333333333333,4.666666666666666,0.0,95.0,28.0,3.392857142857143,0.0,728.0,88.0,0.7000000000000001,0.38333333333333336,2336.0,87.0,87.0,87.0,87.0,89.0,89.0,89.0,89.0,50.240001486520086,-89.0,0.0
Kids Unisex,KU outerwear,KU ow,Outerwear,3.0,0.0,0.0,0.0,0.0,315.0,28.0,11.25,0.0,896.0,88.0,0.7000000000000001,0.4253623188405796,4433.0,79.0,79.0,79.0,79.0,93.0,93.0,93.0,93.0,241.99763092269328,-93.0,0.0
Collab Apparel,C Adult,C Adult Unisex,Collab Adult,266.0,382.0,14.148148148148149,198.07407407407408,1.3429319371727748,235.0,28.0,8.392857142857142,157.79450261780104,413.0,58.0,0.6026923076923076,0.5366646316646317,526.0,261.0,261.0,261.0,261.0,267.0,267.0,267.0,267.0,121.86931053660813,-109.20549738219896,0.5909906465086181
Collab Apparel,C Baby/Toddler,C BT top,Collab Baby,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.03571428571428571,0.0,168.0,24.0,0.7000000000000001,0.5583333333333333,614.0,119.0,119.0,119.0,119.0,120.0,120.0,120.0,120.0,18.902178777106567,-120.0,0.0
Girls,G outerwear,G jkt,Jacket,0.0,1.0,0.037037037037037035,0.5185185185185185,0.0,138.0,28.0,4.928571428571429,0.0,357.0,51.0,0.7000000000000001,0.6350505050505051,343.0,130.0,130.0,130.0,130.0,137.0,137.0,137.0,137.0,139.77663779913013,-137.0,0.0
Collab Apparel,C Kids Unisex,C KU set,Collab Kids Uni,0.0,0.0,0.0,0.0,0.0,247.0,28.0,8.821428571428571,0.0,176.0,24.0,0.58,0.508,218.0,150.0,150.0,150.0,150.0,157.0,157.0,157.0,157.0,182.3065400476199,-157.0,0.0
Collab Sleepwear,CS AU sleep,CS AU Pajama,Sleep,0.0,0.0,0.0,0.0,0.0,243.0,28.0,8.678571428571429,0.0,728.0,104.0,0.6000000000000001,0.4988181818181818,1723.0,154.0,154.0,154.0,154.0,164.0,164.0,164.0,164.0,154.94812339654462,-164.0,0.0
Kids Unisex,KU short,KU w short,Short,0.0,0.0,0.0,0.0,0.0,1045.0,28.0,37.32142857142857,0.0,352.0,40.0,0.56,0.42977272727272725,1085.0,157.0,157.0,157.0,157.0,180.0,180.0,180.0,180.0,518.3176390985537,-180.0,0.0
Girls,G sweater,G swtr pullover,Sweater,20.0,52.0,1.9259259259259258,26.962962962962962,0.7417582417582418,398.0,28.0,14.214285714285714,147.6098901098901,1309.0,163.0,0.7000000000000001,0.4875000000000001,2772.0,348.0,348.0,348.0,348.0,358.0,358.0,358.0,358.0,260.89980969979985,-210.3901098901099,0.4123181287985757
Adult Sleep,S AU sleepwear,S AU SJ,Sleep,296.0,1081.0,40.03703703703704,560.5185185185185,0.5280824633276068,195.0,28.0,6.964285714285714,51.48804017444166,524.0,72.0,0.5001249999999999,0.47672499999999995,0.0,257.0,257.0,257.0,257.0,270.0,270.0,270.0,270.0,294.4760483170286,-218.51195982555834,0.19069644509052466
Baby Apparel,Bby sweater,Bby swtr cardigan,Sweater,25.0,67.0,2.4814814814814814,34.74074074074074,0.7196162046908315,409.0,28.0,14.607142857142858,147.16151385927506,882.0,119.0,0.7000000000000001,0.5384159694699009,2048.0,375.0,375.0,375.0,375.0,387.0,387.0,387.0,387.0,268.361196059184,-239.83848614072494,0.380262309713889
Baby Apparel,Bby top,Bby LS top,Top,4.0,0.0,0.0,0.0,0.0,235.0,28.0,8.392857142857142,0.0,749.0,107.0,0.6001818181818181,0.5745627313862608,414.0,314.0,314.0,314.0,314.0,321.0,321.0,321.0,321.0,134.05624159026894,-321.0,0.0
Baby Apparel,Bby top,Bby SS top,Top,0.0,0.0,0.0,0.0,0.0,4510.0,28.0,161.07142857142858,0.0,952.0,111.0,0.55,0.37717898832684826,1581.0,878.0,878.0,878.0,878.0,964.0,964.0,964.0,964.0,2644.066612887104,-964.0,0.0
