Division,Department,Class,KeyCategoryView,Sale2025Units,Baseline2025Units,Baseline2025DailyUnits,BaselineExpected2025Units,CategoryLift2025,CurrentBaselineUnits,CurrentBaselineObservedDays,CurrentBaselineDailyUnits,DirectPickLiftProjection,CurrentPromoSkuDays,CurrentPromoSKUs,CurrentMaxDiscount,CurrentAvgDiscount,CurrentPDLAvailInv,hybrid_ml_raw_min20_recent_w0p05,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,hybrid_ml_raw_min20_recent_w0p1,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,recent_no_ml_no_promo_floor,GapVsHybrid10Cap085,ProjectionToHybridRatio
Baby Sleepwear,BS footless sleeper,BS footless stripe,Sleep,2364.0,2357.0,87.29629629629629,1222.148148148148,1.9342990484271776,1176.0,28.0,42.0,1137.3678404751804,1589.0,208.0,0.7000000000000001,0.4260448771345273,1352.0,286.0,286.0,286.0,286.0,315.0,315.0,315.0,315.0,752.6051707832167,822.3678404751804,3.6106915570640647
Baby Apparel,Bby pant,Bby w pant,Pant,432.0,456.0,16.88888888888889,236.44444444444446,1.8270676691729322,1431.0,28.0,51.107142857142854,1307.266917293233,674.0,92.0,0.62,0.5089213114754099,788.0,516.0,516.0,516.0,516.0,556.0,556.0,556.0,556.0,1058.2732986393216,751.2669172932331,2.351199491534592
Baby Apparel,Bby dress,Bby SS dress set,Dress,936.0,561.0,20.77777777777778,290.8888888888889,3.2177234530175705,700.0,28.0,25.0,1126.2032085561495,784.0,112.0,0.7000000000000001,0.543943606625443,565.0,369.0,369.0,369.0,369.0,388.0,388.0,388.0,388.0,446.6883300484657,738.2032085561495,2.902585589062241
Baby Apparel,Bby short,Bby k short,Short,5.0,9.0,0.3333333333333333,4.666666666666666,1.0714285714285716,1801.0,28.0,64.32142857142857,964.8214285714288,504.0,44.0,0.5517241379310345,0.5258620689655172,2455.0,235.0,235.0,235.0,235.0,261.0,261.0,261.0,261.0,843.3853714890574,703.8214285714288,3.6966338259441716
Collab Apparel,C Kids Unisex,C KU jkt-vest,Collab Kids Uni,910.0,850.0,31.48148148148148,440.74074074074076,2.064705882352941,780.0,28.0,27.857142857142858,805.235294117647,644.0,52.0,0.7000000000000001,0.2867111637868297,3339.0,103.0,103.0,103.0,103.0,117.0,117.0,117.0,117.0,390.2305065957921,688.235294117647,6.88235294117647
Collab Apparel,C Girl,C G swimwear,Collab Girl,638.0,559.0,20.703703703703702,289.85185185185185,2.2011244569384103,900.0,28.0,32.142857142857146,990.5060056222848,714.0,74.0,0.54,0.2859615384615385,837.0,288.0,288.0,288.0,288.0,308.0,308.0,308.0,308.0,508.36912395270815,682.5060056222848,3.2159285896827425
Kids Unisex Sleep,S KU LJ,S KU LJ stripe,Sleep,2859.0,1884.0,69.77777777777777,976.8888888888888,2.926637852593267,573.0,28.0,20.464285714285715,838.481744767971,756.0,63.0,0.5045454545454545,0.35,5874.0,189.0,189.0,189.0,189.0,202.0,202.0,202.0,202.0,328.54971269154964,636.481744767971,4.150899726574114
Kids Unisex Sleep,S KU non cotton,S KU non cttn nightgown,Sleep,2538.0,2353.0,87.14814814814815,1220.0740740740741,2.0802015663894116,1293.0,28.0,46.17857142857143,1344.8503126707546,1533.0,198.0,0.8,0.34248466257668714,1653.0,713.0,713.0,713.0,713.0,738.0,738.0,738.0,738.0,786.1814094004454,606.8503126707546,1.8222903965728383
Baby Apparel,Bby bundle,Bby bundle misc,Other,1448.0,1179.0,43.666666666666664,611.3333333333333,2.3685932388222466,609.0,28.0,21.75,721.236641221374,693.0,99.0,0.4002,0.4002,0.0,109.0,109.0,109.0,109.0,127.0,127.0,127.0,127.0,340.2392179879182,594.236641221374,5.679028671034441
Kids Unisex Sleep,S KU SJ,S KU SJ stripe,Sleep,2761.0,2375.0,87.96296296296296,1231.4814814814815,2.2420150375939847,826.0,28.0,29.5,925.9522105263156,679.0,79.0,0.6000000000000001,0.41964285714285715,5062.0,323.0,323.0,323.0,323.0,336.0,336.0,336.0,336.0,423.3093194557286,589.9522105263156,2.7558101503759396
Unknown,Unknown,Unknown,Unknown,1270.0,543.0,20.11111111111111,281.55555555555554,4.510655090765588,356.0,28.0,12.714285714285714,802.8966061562746,118694.0,16753.0,0.8,0.5031015047280958,11318.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,115.15406281316237,469.89660615627463,2.411100919388212
Adult Sleep,S W sleepwear,S W LJ bottom,Sleep,288.0,160.0,5.925925925925926,82.96296296296296,3.4714285714285715,351.0,28.0,12.535714285714286,609.2357142857143,1099.0,144.0,0.8,0.4214285714285715,5723.0,181.0,181.0,181.0,181.0,189.0,189.0,189.0,189.0,211.6546597278643,420.23571428571427,3.223469387755102
Baby Apparel,Bby sets,Bby SL set,Set,940.0,1213.0,44.925925925925924,628.9629629629629,1.4945236132375457,935.0,28.0,33.392857142857146,698.6897891885527,483.0,69.0,0.54,0.5108603145235893,291.0,270.0,270.0,270.0,270.0,290.0,290.0,290.0,290.0,513.8408072829233,408.6897891885527,2.4092751351329404
Baby Apparel,Bby bodysuit,Bby LS bodysuit,1pc,1484.0,1272.0,47.111111111111114,659.5555555555557,2.2499999999999996,874.0,28.0,31.214285714285715,983.2499999999998,923.0,117.0,0.6000000000000001,0.4675019592476489,6375.0,552.0,552.0,552.0,552.0,579.0,579.0,579.0,579.0,629.4922958533779,404.2499999999998,1.698186528497409
Collab Sleepwear,CS W sleep,CS W pajama,Sleep,439.0,253.0,9.37037037037037,131.1851851851852,3.346414455110107,310.0,28.0,11.071428571428571,518.6942405420666,1421.0,190.0,0.8,0.503571186440678,1860.0,116.0,116.0,116.0,116.0,121.0,121.0,121.0,121.0,194.74218397992686,397.6942405420666,4.286729260678237
Baby Apparel,Bby sweater,Bby swtr pullover,Sweater,125.0,63.0,2.3333333333333335,32.66666666666667,3.8265306122448974,258.0,28.0,9.214285714285714,493.62244897959175,406.0,41.0,0.55,0.45918280355620505,1095.0,127.0,127.0,127.0,127.0,134.0,134.0,134.0,134.0,140.02535067777626,359.62244897959175,3.6837496192506847
Baby Sleepwear,BS footed sleeper,BS footed print,Sleep,518.0,398.0,14.74074074074074,206.37037037037038,2.5100502512562812,353.0,28.0,12.607142857142858,443.02386934673365,791.0,93.0,0.6000000000000001,0.3762244897959183,2458.0,78.0,78.0,78.0,78.0,86.0,86.0,86.0,86.0,191.2602036788809,357.02386934673365,5.151440341241089
Baby Sleepwear,BS 1pc,BS misc,Sleep,834.0,839.0,31.074074074074073,435.037037037037,1.917078154265282,570.0,28.0,20.357142857142858,546.3672739656054,651.0,75.0,0.7000000000000001,0.4595957446808511,2148.0,193.0,193.0,193.0,193.0,202.0,202.0,202.0,202.0,299.20159301130525,344.36727396560536,2.7047884849782444
Collab Sleepwear,CS AU sleep,CS AU bottom,Sleep,1231.0,580.0,21.48148148148148,300.74074074074076,4.093226600985221,259.0,28.0,9.25,530.0728448275861,1666.0,238.0,0.8,0.6357902298850575,2527.0,196.0,196.0,196.0,196.0,201.0,201.0,201.0,201.0,143.5073309788222,329.0728448275861,2.637178332475553
Baby Accessories,BA hats,BA pilot-knot hat,Accessories,222.0,255.0,9.444444444444445,132.22222222222223,1.6789915966386555,367.0,28.0,13.107142857142858,308.0949579831933,238.0,23.0,0.7000000000000001,0.5691176470588236,1462.0,33.0,33.0,33.0,33.0,44.0,44.0,44.0,44.0,191.01149080023478,264.0949579831933,7.002158135981666
Collab Accessories,CA underwear,CA B underwear,Underwear,1543.0,1019.0,37.74074074074074,528.3703703703703,2.920300014019347,210.0,28.0,7.5,306.63150147203146,112.0,13.0,0.5,0.3540450928381963,1962.0,41.0,41.0,41.0,41.0,50.0,50.0,50.0,50.0,193.0011938294039,256.63150147203146,6.132630029440629
Collab Apparel,C Kids Unisex,C KU swimwear,Collab Kids Uni,460.0,528.0,19.555555555555557,273.7777777777778,1.6801948051948048,365.0,28.0,13.035714285714286,306.6355519480519,260.0,36.0,0.54,0.47105263157894744,440.0,58.0,58.0,58.0,58.0,67.0,67.0,67.0,67.0,170.61703475125137,239.6355519480519,4.5766500290754015
Adult Sleep,S AU sleepwear,S AU LJ top,Sleep,585.0,579.0,21.444444444444443,300.2222222222222,1.9485566247224282,461.0,28.0,16.464285714285715,449.1423019985197,3780.0,450.0,0.8,0.44301210474308306,13850.0,211.0,211.0,211.0,211.0,221.0,221.0,221.0,221.0,253.43842334041565,228.1423019985197,2.032318108590587
Collab Accessories,CA underwear,CA BT underwear,Underwear,297.0,315.0,11.666666666666666,163.33333333333331,1.8183673469387758,420.0,28.0,15.0,381.8571428571429,70.0,6.0,0.5,0.38571428571428573,1384.0,158.0,158.0,158.0,158.0,160.0,160.0,160.0,160.0,187.2807976205427,221.8571428571429,2.386607142857143
Collab Apparel,C Baby,C Bby set,Collab Baby,296.0,413.0,15.296296296296296,214.14814814814815,1.3822206848841232,788.0,28.0,28.142857142857142,544.5949498443446,903.0,111.0,0.62,0.48888626041666666,2121.0,315.0,315.0,315.0,315.0,332.0,332.0,332.0,332.0,300.6938702831821,212.59494984434457,1.6403462344709174
Collab Sleepwear,CS AU sleep,CS AU SJ,Sleep,199.0,224.0,8.296296296296296,116.14814814814814,1.7133290816326532,269.0,28.0,9.607142857142858,230.44276147959187,105.0,14.0,0.49,0.4588888888888889,310.0,33.0,33.0,33.0,33.0,41.0,41.0,41.0,41.0,138.53307340589944,189.44276147959187,5.620555158038826
Baby Apparel,Bby dress,Bby LS dress set,Dress,142.0,132.0,4.888888888888889,68.44444444444446,2.0746753246753245,641.0,28.0,22.892857142857142,664.9334415584415,1974.0,247.0,0.8,0.4318026124818578,2745.0,464.0,464.0,464.0,464.0,484.0,484.0,484.0,484.0,387.9920906879769,180.93344155844147,1.3738294247075238
Boys,B outerwear,B jkt,Jacket,36.0,19.0,0.7037037037037037,9.851851851851851,3.654135338345865,114.0,28.0,4.071428571428571,208.2857142857143,168.0,24.0,0.7000000000000001,0.6500000000000001,776.0,31.0,31.0,31.0,31.0,34.0,34.0,34.0,34.0,89.78534919125619,174.2857142857143,6.126050420168068
Collab Apparel,C Boy,C B swimwear,Collab Boy,534.0,672.0,24.88888888888889,348.44444444444446,1.5325255102040816,314.0,28.0,11.214285714285714,240.6065051020408,238.0,26.0,0.8,0.2829850746268657,610.0,67.0,67.0,67.0,67.0,73.0,73.0,73.0,73.0,181.31168853303535,167.6065051020408,3.2959795219457644
Adult Sleep,S AU sleepwear,S AU Pajama,Sleep,44.0,45.0,1.6666666666666667,23.333333333333336,1.8857142857142855,364.0,28.0,13.0,343.19999999999993,1792.0,208.0,0.7000000000000001,0.35666015274034146,1838.0,171.0,171.0,171.0,171.0,181.0,181.0,181.0,181.0,238.51565062164732,162.19999999999993,1.8961325966850826
Boys,B swimwear,B swim cover up,Swim,909.0,1652.0,61.18518518518518,856.5925925925926,1.0611812521618817,837.0,28.0,29.892857142857142,444.1043540297475,144.0,20.0,0.62,0.5177777777777778,837.0,278.0,278.0,278.0,278.0,284.0,284.0,284.0,284.0,316.3627816378888,160.10435402974753,1.5637477254568575
Baby Accessories,BA sock,BA sock misc,Accessories,681.0,935.0,34.629629629629626,484.8148148148148,1.4046600458365166,479.0,28.0,17.107142857142858,336.41608097784575,392.0,44.0,0.6116666666666666,0.4802356902356903,2866.0,170.0,170.0,170.0,170.0,181.0,181.0,181.0,181.0,278.55842408367573,155.41608097784575,1.8586523810930704
Collab Sleepwear,CS AU sleep,CS AU top,Sleep,746.0,361.0,13.37037037037037,187.1851851851852,3.9853581321725366,126.0,28.0,4.5,251.0775623268698,1722.0,246.0,0.8,0.6603270042194094,2496.0,117.0,117.0,117.0,117.0,118.0,118.0,118.0,118.0,67.15247723445754,133.0775623268698,2.1277759519226254
