SKU,LoadMaxQty,InFwdDemandCSV
52706-NP0-160,40.0,False
52706-NP0-85,90.0,False
52706-NP0-90,96.0,False
52733-461-1/2,206.0,False
52733-76X-NB,58.0,False
54899-2XQ-M,67.0,False
54899-2XQ-S,80.0,False
54899-2XQ-XL,46.0,False
54899-2XQ-XS,57.0,False
54899-2XQ-XXL,24.0,False
54899-2XU-L,28.0,False
54899-2XU-M,28.0,False
54899-2XU-S,30.0,False
54899-2XU-XL,24.0,False
54899-2XU-XS,30.0,False
54899-2XU-XXL,11.0,False
54899-2YF-L,65.0,False
54899-2YF-M,70.0,False
54899-2YF-S,80.0,False
54899-2YF-XL,45.0,False
54899-2YF-XS,39.0,False
54899-2YF-XXL,18.0,False
54901-2NP-XL,20.0,False
57552-PW7-100,86.0,False
57552-PW7-110,79.0,False
57552-PW7-120,70.0,False
57552-PW7-130,51.0,False
57552-PW7-140,54.0,False
57552-PW7-150,45.0,False
57552-PW7-160,26.0,False
57552-PW7-85,85.0,False
57552-PW7-90,82.0,False
57552-PW8-100,84.0,False
57552-PW8-110,80.0,False
57552-PW8-120,69.0,False
57552-PW8-130,58.0,False
57552-PW8-140,38.0,False
57552-PW8-150,39.0,False
57552-PW8-160,13.0,False
57552-PW8-85,68.0,False
57552-PW8-90,100.0,False
57826-03T-100,36.0,False
57826-03T-110,32.0,False
57826-03T-120,25.0,False
57826-03T-130,24.0,False
57826-03T-140,18.0,False
57826-03T-150,19.0,False
57826-03T-85,37.0,False
57826-03T-90,52.0,False
57826-3VC-100,32.0,False
57826-3VC-110,32.0,False
57826-3VC-120,28.0,False
57826-3VC-130,24.0,False
57826-3VC-140,27.0,False
57826-3VC-150,24.0,False
57826-3VC-85,32.0,False
57826-3VC-90,32.0,False
57826-DD4-100,40.0,False
57826-DD4-110,30.0,False
57826-DD4-120,24.0,False
57826-DD4-130,25.0,False
57826-DD4-140,21.0,False
57826-DD4-150,18.0,False
57826-DD4-85,43.0,False
57826-DD4-90,41.0,False
58660-1MU-L,50.0,False
58660-1MU-M,60.0,False
58660-1MU-S,70.0,False
58660-1MU-XL,35.0,False
58660-1MU-XS,44.0,False
58660-1MV-L,50.0,False
58660-1MV-M,60.0,False
58660-1MV-S,70.0,False
58660-1MV-XL,45.0,False
58660-1MV-XS,66.0,False
58660-2RC-L,50.0,False
58660-2RC-M,60.0,False
58660-2RC-S,70.0,False
58660-2RC-XL,36.0,False
58660-2RC-XS,80.0,False
58660-3GD-L,52.0,False
58660-3GD-M,60.0,False
58660-3GD-S,70.0,False
58660-3GD-XL,45.0,False
58660-3GD-XS,80.0,False
58660-3GE-L,50.0,False
58660-3GE-M,60.0,False
58660-3GE-S,70.0,False
58660-3GE-XL,42.0,False
58660-3GE-XS,80.0,False
58660-3GI-L,52.0,False
58660-3GI-M,60.0,False
58660-3GI-S,70.0,False
58660-3GI-XL,45.0,False
58660-3GI-XS,80.0,False
58660-3GJ-L,50.0,False
58660-3GJ-M,60.0,False
58660-3GJ-S,70.0,False
58660-3GJ-XL,28.0,False
58660-3GJ-XS,80.0,False
58660-521-L,24.0,False
58660-521-M,60.0,False
58660-521-S,70.0,False
58660-521-XL,12.0,False
58660-521-XS,80.0,False
58661-1MU-L,60.0,False
58661-1MU-M,70.0,False
58661-1MU-S,80.0,False
58661-1MU-XL,51.0,False
58661-1MU-XS,77.0,False
58661-1MV-L,60.0,False
58661-1MV-M,70.0,False
58661-1MV-S,80.0,False
58661-1MV-XL,51.0,False
58661-1MV-XS,78.0,False
58661-2RC-L,64.0,False
58661-2RC-M,70.0,False
58661-2RC-S,85.0,False
58661-2RC-XL,50.0,False
58661-2RC-XS,83.0,False
58661-3GD-L,60.0,False
58661-3GD-M,70.0,False
58661-3GD-S,80.0,False
58661-3GD-XL,50.0,False
58661-3GD-XS,30.0,False
58661-3GE-L,69.0,False
58661-3GE-M,72.0,False
58661-3GE-S,85.0,False
58661-3GE-XL,50.0,False
58661-3GE-XS,44.0,False
58661-3GI-L,64.0,False
58661-3GI-M,72.0,False
58661-3GI-S,84.0,False
58661-3GI-XL,56.0,False
