SKU,Velocity_Old,Velocity_New,SlotTier_Old,SlotTier_New,ProductGroupCode_Old,ProductGroupCode_New,SizeGroupCode_Old,SizeGroupCode_New,FD14_Old,FD14_New,FD14Delta,RankDelta,PutawayIndicator_Old,PutawayIndicator_New
82717-5XV-90,B,A,BAPXB,BAPXA,BAP,BAP,X,X,4,14,10,1,0,0
83191-3UF-110,B,A,BOYSB,BOYSA,BOY,BOY,S,S,10,0,-10,1,0,0
81316-1DE-85,A,AA,KUSXA,KUSXAA,KUS,KUS,X,X,7,16,9,1,0,0
66716-5GC-90,C,B,BOYXC,BOYXB,BOY,BOY,X,X,14,22,8,1,0,0
67377-5HB-85,B,A,GIRXB,GIRXA,GIR,GIR,X,X,14,22,8,1,0,0
81338-5LD-150,A,AA,KUSLA,KUSLAA,KUS,KUS,L,L,14,22,8,1,0,0
81496-SR4-85,A,AA,KNIXA,KNIXAA,KNI,KNI,X,X,14,22,8,1,0,0
83376-3LB-100,B,A,KNISB,KNISA,KNI,KNI,S,S,14,6,-8,1,0,0
33175-SR4-85,B,A,KUSXB,KUSXA,KUS,KUS,X,X,19,26,7,1,0,0
67375-5LJ-130,B,A,GIRMB,GIRMA,GIR,GIR,M,M,0,6,6,1,0,0
67375-5LJ-140,C,B,GIRLC,GIRLB,GIR,GIR,L,L,0,6,6,1,0,0
67375-5OR-100,C,B,GIRSC,GIRSB,GIR,GIR,S,S,0,6,6,1,0,0
81316-1CH-100,B,A,KUSSB,KUSSA,KUS,KUS,S,S,7,13,6,1,0,0
81496-015-90,B,A,KNIXB,KNIXA,KNI,KNI,X,X,44,38,-6,1,0,0
81941-SR4-85,C,B,KNIXC,KNIXB,KNI,KNI,X,X,0,6,6,1,0,0
83191-3OL-110,B,A,BOYSB,BOYSA,BOY,BOY,S,S,0,6,6,1,0,0
83339-SR4-70,B,A,BAPIB,BAPIA,BAP,BAP,I,I,53,59,6,1,0,0
83903-4CI-150,C,B,COLLC,COLLB,COL,COL,L,L,0,6,6,1,0,0
84280-5LB-130,C,B,GIRMC,GIRMB,GIR,GIR,M,M,0,6,6,1,0,0
84328-5NC-90,C,B,GIRXC,GIRXB,GIR,GIR,X,X,0,6,6,1,0,0
84509-5KT-140,B,A,GIRLB,GIRLA,GIR,GIR,L,L,0,6,6,1,0,0
84510-6AW-140,B,A,GIRLB,GIRLA,GIR,GIR,L,L,0,6,6,1,0,0
83339-SR4-80,B,A,BAPXB,BAPXA,BAP,BAP,X,X,41,46,5,1,0,0
83517-3ST-70,A,AA,BSLIA,BSLIAA,BSL,BSL,I,I,57,61,4,1,0,0
58662-4SP-L,B,A,KUNLB,KUNLA,KUN,KUN,L,L,19,22,3,1,0,0
83504-011-100,C,B,BOYSC,BOYSB,BOY,BOY,S,S,10,13,3,1,0,0
83339-SR4-60,C,B,BAPIC,BAPIB,BAP,BAP,I,I,24,26,2,1,0,0
83339-SR4-85,B,A,BAPXB,BAPXA,BAP,BAP,X,X,34,36,2,1,0,0
83339-SR4-90,B,A,BAPXB,BAPXA,BAP,BAP,X,X,24,26,2,1,0,0
84285-5KC-85,B,A,BAPXB,BAPXA,BAP,BAP,X,X,7,6,-1,1,0,0
33175-011-100,C,B,KUSSC,KUSSB,KUS,KUS,S,S,0,0,0,1,0,0
33175-011-120,B,A,KUSMB,KUSMA,KUS,KUS,M,M,0,0,0,1,0,0
33175-1AY-130,A,AA,KUSMA,KUSMAA,KUS,KUS,M,M,0,0,0,1,0,0
33175-1AY-90,A,AA,KUSXA,KUSXAA,KUS,KUS,X,X,0,0,0,1,0,0
33175-1FL-120,B,A,KUSMB,KUSMA,KUS,KUS,M,M,0,0,0,1,0,0
37028-4ND-110,A,AA,KUSSA,KUSSAA,KUS,KUS,S,S,0,0,0,1,0,0
37028-4ND-85,A,AA,KUSXA,KUSXAA,KUS,KUS,X,X,0,0,0,1,0,0
37028-4ND-90,A,AA,KUSXA,KUSXAA,KUS,KUS,X,X,0,0,0,1,0,0
37028-6NU-150,A,AA,KUSLA,KUSLAA,KUS,KUS,L,L,0,0,0,1,0,0
37028-6NV-150,A,AA,KUSLA,KUSLAA,KUS,KUS,L,L,0,0,0,1,0,0
37028-6NW-150,A,AA,KUSLA,KUSLAA,KUS,KUS,L,L,0,0,0,1,0,0
37028-6NZ-140,A,AA,KUSLA,KUSLAA,KUS,KUS,L,L,0,0,0,1,0,0
37028-6NZ-85,A,AA,KUSXA,KUSXAA,KUS,KUS,X,X,0,0,0,1,0,0
37028-6O6-140,A,AA,KUSLA,KUSLAA,KUS,KUS,L,L,0,0,0,1,0,0
37028-6O6-85,A,AA,KUSXA,KUSXAA,KUS,KUS,X,X,0,0,0,1,0,0
