Candidate,Windows,ForecastUnits,SoldUnits,AbsErrorUnits,ZeroForecastSoldUnits,MissedHighVolumeUnitsSoldGE10,AvgForecastedSKUs,AvgCoverage,WAPE,BiasPct,ZeroForecastSoldUnitPct
ml_hgb_absolute_log_raw_future_guardrail_min_20p0_units,26,6916529.827683892,7334496.0,6298901.459341827,2538289.0,1866702.0,4308.461538461538,0.5973848979941603,0.8588049484711461,-0.05698635220690118,0.3460754494923714
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p1_cap_recent_x1p0,26,7914642.57685308,7334496.0,6365901.481547812,184329.0,89739.0,17139.076923076922,0.96644690952646,0.8679398668358143,0.07909835615877078,0.025131788196489573
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p05_cap_recent_x1p0,26,7733893.676853079,7334496.0,6394254.699430021,184329.0,89739.0,17139.076923076922,0.96644690952646,0.8718056018341304,0.05445468602792603,0.025131788196489573
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p1_cap_recent_x1p1,26,8238709.585142072,7334496.0,6507356.897803254,184329.0,89739.0,17139.076923076922,0.96644690952646,0.8872261840218134,0.12328230667002509,0.025131788196489573
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p05_cap_recent_x1p1,26,8043376.635142071,7334496.0,6530461.944948342,184329.0,89739.0,17139.076923076922,0.96644690952646,0.8903763728207558,0.09665021770303933,0.025131788196489573
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p1_cap_recent_x1p25,26,8567054.140709287,7334496.0,6702053.435129563,184329.0,89739.0,17139.076923076922,0.96644690952646,0.9137715031993423,0.16804946661764988,0.025131788196489573
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p05_cap_recent_x1p25,26,8353352.540709286,7334496.0,6724535.585215944,184329.0,89739.0,17139.076923076922,0.96644690952646,0.9168367649550758,0.13891295880579743,0.025131788196489573
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p1,26,8873670.628576685,7334496.0,6947353.014861033,184329.0,89739.0,17139.076923076922,0.96644690952646,0.9472161433943155,0.20985417792533867,0.025131788196489573
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p05,26,8632111.628576685,7334496.0,6949715.414861033,184329.0,89739.0,17139.076923076922,0.96644690952646,0.9475382377822598,0.176919535926761,0.025131788196489573
ml_hgb_absolute_log_calibrated_future_guardrail_min_20p0_units,26,8390552.628576685,7334496.0,7051132.414861034,2335189.0,1673664.0,4794.384615384615,0.6246294955418291,0.9613656364201485,0.1439848939281833,0.3183843852392857
