CandidateID,SourceWorkbook,ForecastStartDate,SKU,ForecastDay,ForecastDate,ForecastUnits
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-S,2,2026-06-17,2
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-S,3,2026-06-18,1
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-S,4,2026-06-19,1
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-S,5,2026-06-20,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-S,6,2026-06-21,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-S,7,2026-06-22,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-S,8,2026-06-23,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-S,9,2026-06-24,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-S,10,2026-06-25,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-S,11,2026-06-26,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-S,12,2026-06-27,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-S,13,2026-06-28,0
