Candidate,Windows,SoldUnits,ForecastUnits,AbsErrorUnits,OverUnits,CoveredUnderUnits,ZeroForecastSoldUnits,AvgCoverage,WAPE,BiasPct,ExpectedCost,CostPerSoldUnit
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p1,26,7334496.0,8873670.628576685,6947353.014861033,4243263.821718859,2519760.1931421743,184329.0,0.96644690952646,0.9472161433943155,0.20985417792533867,12908518.401145382,1.759973473452761
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p05_cap_recent_x1p0,26,7334496.0,7733893.676853079,6394254.699430021,3396826.1881415504,2813099.5112884706,184329.0,0.96644690952646,0.8718056018341304,0.05445468602792603,12942098.722006962,1.764551882229803
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p05_cap_recent_x1p25,26,7334496.0,8353352.540709286,6724535.585215944,3871696.062962615,2668510.522253329,184329.0,0.96644690952646,0.9168367649550758,0.13891295880579743,12983201.629722603,1.770155935693823
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p05_cap_recent_x1p0,26,7334496.0,6959386.898098293,6045003.984157995,2834947.441128144,3025540.543029851,184516.0,0.9664162350011385,0.8241880538428265,-0.05114313265720061,13018665.070217697,1.7749910928055175
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p05_cap_recent_x1p1,26,7334496.0,7096344.851280004,6130501.208028545,2946175.029654274,2999810.178374271,184516.0,0.9664162350011385,0.8358449180459768,-0.032470008671351955,13052701.564777086,1.7796316972259696
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p05_cap_recent_x1p25,26,7334496.0,7168023.794816513,6184352.887414442,3008940.3411154775,2990896.546298965,184516.0,0.9664162350011385,0.8431871647914788,-0.02269715672126447,13088725.980012372,1.7845433387668863
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p05,26,7334496.0,7171493.577683892,6187457.8093418265,3012227.6935128598,2990714.115828967,184516.0,0.9664162350011385,0.8436104961188644,-0.022224079516316855,13091466.040999763,1.78491692421671
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p05_cap_recent_x0p85,26,7334496.0,6626609.783847452,5925603.214712929,2608858.49928019,3132228.7154327384,184516.0,0.9664162350011385,0.8079087117523724,-0.09651463660932501,13112640.645578405,1.787803912576734
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p05_cap_recent_x0p85,26,7334496.0,7218306.756816449,6222042.264216533,3052926.510516491,2984786.753700042,184329.0,0.96644690952646,0.8483258105555628,-0.015841476112816933,13113260.771616617,1.7878884618134112
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p05,26,7334496.0,8632111.628576685,6949715.414861033,4123665.5217188587,2641720.893142174,184329.0,0.96644690952646,0.9475382377822598,0.176919535926761,13154802.20114538,1.7935523042272272
recent_no_ml_no_promo_floor,26,7334496.0,10226851.0,8170651.0,5531503.0,2452446.0,186702.0,0.9660072863759226,1.1140030616964,0.394349523130151,14009053.0,1.9100225836921856
seasonal_no_ml_no_promo_floor,26,7334496.0,11441236.0,9349476.0,6728108.0,2439580.0,181788.0,0.9667939169314882,1.27472644337116,0.5599212270345502,15137576.0,2.063887689079113
ml_hgb_absolute_log_calibrated_future_guardrail_min_20p0_units,26,7334496.0,8390552.628576685,7051132.414861034,4053594.521718859,662348.8931421742,2335189.0,0.6246294955418291,0.9613656364201485,0.1439848939281833,20051775.20114538,2.7338995346299706
ml_hgb_absolute_log_raw_future_guardrail_min_20p0_units,26,7334496.0,6916529.827683892,6298901.459341827,2940467.6435128595,820144.8158289671,2538289.0,0.5973848979941603,0.8588049484711461,-0.05698635220690118,20630636.09099976,2.8128225976263073
corporate,26,7334496.0,7740876.0,8309440.0,4357910.0,554993.0,3396537.0,0.43861267268140924,1.1329258343040884,0.055406670069763485,26402111.0,3.599717144845399
recent_no_ml,26,7334496.0,34893974.0,29979778.0,28769628.0,1045847.0,164303.0,0.9698961015424454,4.087503490355711,3.757514899455941,32892987.0,4.484696289970026
seasonal_no_ml,26,7334496.0,36102623.0,31168447.0,29968287.0,1038574.0,161586.0,0.9703919311522325,4.249569022874919,3.922304545533872,34053525.0,4.6429263851258495
