Division,Department,Class,KeyCategoryView,Sale2025Units,Baseline2025Units,Baseline2025DailyUnits,BaselineExpected2025Units,CategoryLift2025,Sale2025Share,CurrentBaselineObservedDays,CurrentBaselineDailyUnits,CurrentExpectedBy2025Lift,hybrid_ml_raw_min20_recent_w0p05,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,hybrid_ml_raw_min20_recent_w0p1,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,recent_no_ml_no_promo_floor,CurrentPromoSkuDays,CurrentPromoSKUs,CurrentMaxDiscount,CurrentAvgDiscount,CurrentPDLAvailInv,GapVsHybrid10Cap085,LiftExpectedToHybridRatio
W Kids Unisex Sleep,WS KU SJ,WS KU SJ print,M&B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2332674223998072,63.0,9.0,0.0,0.0,0.0,0.0,
W Baby Apparel,WBby sets,WBby LS set,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.927921204183784,0.0,0.0,0.0,0.0,0.0,0.0,
W Baby Apparel,WBby swimwear,WBby swim 2pc,M&B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.120000743260043,0.0,0.0,0.0,0.0,0.0,0.0,
W Baby Apparel,WBby swimwear,WBby swim rash guard,M&B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.704950752614867,0.0,0.0,0.0,0.0,0.0,0.0,
Collab Accessories,CA misc,CA misc sock/tight,Collab Access,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,11.0,0.0,0.0,0.0,0.0,
Collab Accessories,CA misc,CA misc hat/glove,Collab Access,33.0,8.0,0.2857142857142857,4.0,8.25,6.959529282746695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,0.59,0.59,198.0,0.0,
Collab Apparel,C Baby,C Bby jkt/vest,Collab Baby,107.0,198.0,7.071428571428571,99.0,1.0808080808080809,0.00022565746462239282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,
Collab Apparel,C Baby,C Bby sweater,Collab Baby,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.456237873968727,42.0,6.0,0.6,0.6,238.0,0.0,
Baby Accessories,BA tight,BA tight footed,Accessories,0.0,22.0,0.7857142857142857,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,
Adult Apparel,O womens apparel,O womens apparel dress,Dress,153.0,291.0,10.392857142857142,145.5,1.0515463917525774,0.0003226690849273467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
