PickYear,LocProfileId,SourceLocation,SourceZone,SKU,PickLines,DistinctOrders,PickUnits,FirstPickDate,LastPickDate,SourceSchema
2022,invalid,28-139B,Invalid,59956-82F-130,33,33,33.0,2022-01-23,2022-02-09,DAX_Archive.arc
2022,W001,07-133A,W001,60356-WU4-100,1,1,1.0,2022-07-01,2022-07-01,DAX_Archive.arc
2022,W001,07-119W,W001,67297-NZ5-S,1,1,1.0,2022-02-15,2022-02-15,DAX_Archive.arc
2022,W001,07-123B,W001,67282-VZ1-110,1,1,1.0,2022-01-17,2022-01-17,DAX_Archive.arc
2024,invalid,34-026Y,Invalid,82035-1VH-70,61,61,61.0,2024-08-11,2024-12-30,DAX_Archive.arc
2022,W001,07-125A,W001,46239-M23-110,2,2,2.0,2022-01-12,2022-01-12,DAX_Archive.arc
2022,W001,07-007W,W001,67868-WY4-120,1,1,1.0,2022-06-25,2022-06-25,DAX_Archive.arc
2022,invalid,31-138X,Invalid,51911-015-100,52,52,54.0,2022-07-08,2022-07-11,DAX_Archive.arc
2023,invalid,16-140Z,Invalid,67034-015-140,1,1,1.0,2023-11-02,2023-11-02,DAX_Archive.arc
2022,W001,07-083W,W001,65256-KL4-130,1,1,1.0,2022-02-07,2022-02-07,DAX_Archive.arc
2022,W001,07-101W,W001,67090-B42-120,1,1,1.0,2022-02-19,2022-02-19,DAX_Archive.arc
2024,invalid,34-002Z,Invalid,65696-56X-OS,12,12,12.0,2024-08-06,2024-08-08,DAX_Archive.arc
2022,W001,07-038W,W001,67755-WX5-85,3,3,3.0,2022-06-13,2022-06-16,DAX_Archive.arc
2023,invalid,18-129B,Invalid,52171-VL6-90,40,40,41.0,2023-09-10,2023-10-02,DAX_Archive.arc
2022,invalid,17-140C,Invalid,67559-QN4-110,56,56,57.0,2022-01-06,2022-02-19,DAX_Archive.arc
2022,W001,07-062B,W001,67784-001-80,160,160,171.0,2022-04-29,2022-06-03,DAX_Archive.arc
2022,W001,07-133C,W001,47433-VG3-130,1,1,1.0,2022-01-27,2022-01-27,DAX_Archive.arc
2024,W001,07-125Z,W001,82478-3AP-50,3,3,5.0,2024-10-08,2024-10-08,DAX_Archive.arc
2025,W001,07-074Y,W001,82560-3BK-70,8,8,11.0,2025-06-02,2025-11-25,DAX_Archive.arc
2022,invalid,07-007D,Invalid,66994-VJ7-M,30,30,37.0,2022-01-06,2022-07-27,DAX_Archive.arc
2022,invalid,16-130W,Invalid,67594-AT2-85,116,116,116.0,2022-04-25,2022-12-28,DAX_Archive.arc
2022,W001,07-031Y,W001,52382-AN8-75,1,1,1.0,2022-02-13,2022-02-13,DAX_Archive.arc
2022,invalid,10-142X,Invalid,67633-AV3-100,77,77,77.0,2022-04-18,2022-05-18,DAX_Archive.arc
2022,invalid,18-125C,Invalid,67241-011-70,375,375,377.0,2022-01-12,2022-04-27,DAX_Archive.arc
2022,invalid,34-008Z,Invalid,36754-76X-120,1,1,1.0,2022-10-11,2022-10-11,DAX_Archive.arc
2022,invalid,08-043W,Invalid,80207-XS6-S,1,1,1.0,2022-11-05,2022-11-05,DAX_Archive.arc
2022,invalid,29-140Z,Invalid,67486-SR4-130,112,112,122.0,2022-01-04,2022-02-28,DAX_Archive.arc
2023,invalid,16-135Y,Invalid,80452-942-150,104,104,105.0,2023-07-21,2023-12-30,DAX_Archive.arc
2022,W001,07-015Y,W001,66935-SR4-50,1,1,1.0,2022-02-11,2022-02-11,DAX_Archive.arc
