Date,SKU,SoldUnits,CorporateBaselineQty,Recent28BaselineQty,Recent7BaselineQty,HybridBaselineQty,HasAnyPromotion,Division,Department,Class,KeyCategoryView,HybridAbsError
2026-06-02,58662-4SU-M,3.0,38.0,5.857142857142857,7.285714285714286,14.964285714285715,True,Kids Unders,U B underwear,U B unders bottom,Underwear,11.964285714285715
2026-05-27,58662-4O4-M,7.0,57.0,6.178571428571429,6.285714285714286,18.964285714285715,True,Kids Unders,U B underwear,U B unders bottom,Underwear,11.964285714285715
2026-05-17,67377-3KT-90,3.0,50.0,3.2857142857142856,2.0,14.964285714285715,True,Girls,G pant,G k pant,Pant,11.964285714285715
2026-05-21,58660-4PQ-M,23.0,103.0,8.142857142857142,12.285714285714286,34.964285714285715,True,Kids Unders,U G underwear,U G unders bottom,Underwear,11.964285714285715
2026-06-02,84428-1WC-130,7.0,3.0,22.5,24.285714285714285,18.964285714285715,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.964285714285715
2026-05-22,58665-4TG-S,11.0,61.0,5.571428571428571,10.285714285714286,22.964285714285715,True,Kids Unders,U B underwear,U B unders bottom,Underwear,11.964285714285715
2026-05-21,80681-6GV-85,17.0,0.0,2.7142857142857144,6.714285714285714,5.035714285714286,True,Girls,G dress,G SL dress,Dress,11.964285714285715
2026-05-18,84434-6AT-120,17.0,0.0,5.035714285714286,6.714285714285714,5.035714285714286,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.964285714285715
2026-06-07,84433-68I-100,23.0,9.0,11.285714285714286,11.714285714285714,11.035714285714285,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.964285714285715
2026-05-20,84552-6AT-75,20.0,0.0,10.714285714285714,10.571428571428571,8.035714285714285,True,Baby Apparel,Bby sets,Bby SS set,Set,11.964285714285715
2026-05-25,84460-6GS-90,26.0,0.0,11.607142857142858,18.714285714285715,14.035714285714286,True,Girls,G dress,G SL dress,Dress,11.964285714285714
2026-05-20,81351-PM7-120,1.0,47.0,1.6071428571428572,1.2857142857142858,12.955357142857142,True,Boys,B pant,B w pant,Pant,11.955357142857142
2026-05-19,81700-5ZA-110,19.0,0.0,9.392857142857142,8.714285714285714,7.044642857142857,True,Girls,G short,G k short,Short,11.955357142857142
2026-05-14,67501-SR4-130,4.0,49.0,4.928571428571429,1.4285714285714286,15.946428571428571,True,Boys,B pant,B k pant,Pant,11.946428571428571
2026-06-04,84505-5ZX-110,4.0,2.0,18.535714285714285,20.571428571428573,15.92857142857143,True,Girls,G dress,G SL dress,Dress,11.92857142857143
2026-06-03,84460-6GW-110,3.0,1.0,16.857142857142858,19.571428571428573,14.92857142857143,True,Girls,G dress,G SL dress,Dress,11.92857142857143
2026-05-26,84460-61J-130,25.0,0.0,11.142857142857142,17.428571428571427,13.07142857142857,True,Girls,G dress,G SL dress,Dress,11.92857142857143
2026-05-22,84505-5ZX-130,22.0,0.0,10.892857142857142,13.428571428571429,10.071428571428571,True,Girls,G dress,G SL dress,Dress,11.928571428571429
2026-06-06,58661-4SK-S,3.0,43.0,5.571428571428571,5.142857142857143,14.928571428571429,True,Kids Unders,U G underwear,U G unders bottom,Underwear,11.928571428571429
2026-05-25,81718-6GT-100,19.0,0.0,6.285714285714286,9.428571428571429,7.071428571428571,True,Girls,G dress,G SL dress,Dress,11.928571428571429
2026-05-28,84434-6BL-120,20.0,1.0,7.892857142857143,10.428571428571429,8.071428571428571,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.928571428571429
2026-06-06,82551-4CY-120,2.0,51.0,1.0357142857142858,1.5714285714285714,13.928571428571429,True,Collab Sleepwear,CS Kids Unisex sleep,CS KU LJ,Sleep,11.928571428571429
2026-05-24,58662-4SU-L,4.0,50.0,3.5357142857142856,4.571428571428571,15.928571428571429,True,Kids Unders,U B underwear,U B unders bottom,Underwear,11.928571428571429
2026-05-26,84505-5ZX-150,16.0,0.0,3.2857142857142856,5.428571428571429,4.071428571428571,True,Girls,G dress,G SL dress,Dress,11.928571428571429
2026-05-21,84605-015-140,15.0,0.0,4.107142857142857,3.857142857142857,3.0803571428571423,True,Boys,B short,B w short,Short,11.919642857142858
2026-05-16,58663-011-L,3.0,38.0,7.214285714285714,5.0,14.910714285714285,True,Kids Unders,U B underwear,U B unders bottom,Underwear,11.910714285714285
2026-05-21,84505-5ZY-120,18.0,0.0,3.9642857142857144,8.142857142857142,6.107142857142857,True,Girls,G dress,G SL dress,Dress,11.892857142857142
2026-05-20,81318-2NA-110,1.0,46.0,1.0714285714285714,1.8571428571428572,12.892857142857142,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.892857142857142
2026-05-18,81346-5HP-110,18.0,0.0,8.142857142857142,6.428571428571429,6.107142857142857,True,Kids Unisex,KU short,KU k short,Short,11.892857142857142
2026-05-26,67522-5SC-120,21.0,0.0,10.25,12.142857142857142,9.107142857142858,True,Boys,B short,B k short,Short,11.892857142857142
2026-05-30,84433-66J-120,2.0,2.0,14.785714285714286,17.857142857142858,13.892857142857142,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.892857142857142
2026-05-22,81700-5ZE-130,18.0,0.0,5.428571428571429,8.142857142857142,6.107142857142857,True,Girls,G short,G k short,Short,11.892857142857142
2026-05-25,81338-5LK-110,15.0,0.0,2.642857142857143,4.142857142857143,3.1071428571428577,True,Kids Unisex Sleep,S KU LJ,S KU LJ print,Sleep,11.892857142857142
2026-05-22,84428-1WC-90,21.0,0.0,6.642857142857143,12.142857142857142,9.107142857142858,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.892857142857142
2026-05-17,82788-6AN-120,15.0,0.0,4.142857142857143,3.7142857142857144,3.1071428571428577,True,Boys,B swimwear,B swim trunk,Swim,11.892857142857142
2026-05-28,43205-SR4-150,15.0,0.0,4.071428571428571,4.142857142857143,3.1071428571428577,True,Girls,G short,G k short,Short,11.892857142857142
2026-06-07,58662-4SU-M,6.0,57.0,4.857142857142857,2.5714285714285716,17.892857142857142,True,Kids Unders,U B underwear,U B unders bottom,Underwear,11.892857142857142
2026-05-25,81766-1QH-100,16.0,70.0,8.428571428571429,13.857142857142858,27.892857142857142,True,Kids Unisex,KU top,KU SS top,Top,11.892857142857142
2026-05-15,82912-2RO-90,19.0,16.0,3.5357142857142856,4.142857142857143,7.107142857142858,True,Girls,G dress,G SL dress,Dress,11.892857142857142
2026-06-02,58663-4SZ-S,4.0,19.0,11.321428571428571,14.857142857142858,15.892857142857142,True,Kids Unders,U B underwear,U B unders bottom,Underwear,11.892857142857142
2026-05-27,84505-5ZU-130,42.0,0.0,15.714285714285714,40.142857142857146,30.10714285714286,True,Girls,G dress,G SL dress,Dress,11.892857142857139
2026-05-17,84460-5ZU-110,26.0,0.0,18.821428571428573,11.428571428571429,14.11607142857143,True,Girls,G dress,G SL dress,Dress,11.88392857142857
2026-05-18,81766-1QH-100,24.0,29.0,6.5,5.571428571428571,12.125,True,Kids Unisex,KU top,KU SS top,Top,11.875
2026-05-23,81351-PM7-120,1.0,47.0,1.5,1.4285714285714286,12.875,True,Boys,B pant,B w pant,Pant,11.875
2026-05-24,84414-5NC-70,17.0,0.0,3.2142857142857144,6.857142857142857,5.142857142857142,True,Baby Sleepwear,BS footless sleeper,BS footless print,Sleep,11.857142857142858
2026-06-02,43205-GK3-100,1.0,15.0,8.392857142857142,12.142857142857142,12.857142857142858,True,Girls,G short,G k short,Short,11.857142857142858
2026-05-21,58660-4SK-M,23.0,0.0,11.714285714285714,14.857142857142858,11.142857142857142,True,Kids Unders,U G underwear,U G unders bottom,Underwear,11.857142857142858
2026-05-29,84428-6AQ-140,1.0,0.0,12.642857142857142,17.142857142857142,12.857142857142858,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.857142857142858
2026-05-25,84505-5ZX-100,26.0,0.0,12.25,18.857142857142858,14.142857142857142,True,Girls,G dress,G SL dress,Dress,11.857142857142858
2026-05-19,84460-60K-110,17.0,0.0,5.428571428571429,6.857142857142857,5.142857142857142,True,Girls,G dress,G SL dress,Dress,11.857142857142858
2026-06-07,81318-5IC-120,2.0,40.0,5.107142857142857,1.2857142857142858,13.830357142857142,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.830357142857142
2026-05-17,84306-66I-70,17.0,0.0,6.892857142857143,5.142857142857143,5.169642857142858,True,Baby Sleepwear,BS footless sleeper,BS footless print,Sleep,11.830357142857142
2026-05-22,84082-6DC-140,19.0,0.0,8.678571428571429,9.571428571428571,7.178571428571429,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.821428571428571
2026-05-29,50754-4SN-M,2.0,24.0,6.214285714285714,10.428571428571429,13.821428571428571,True,Kids Unders,U G underwear,U G unders bottom,Underwear,11.821428571428571
2026-05-17,82719-65Z-120,16.0,0.0,5.571428571428571,5.0,4.178571428571429,True,Girls,G swimwear,G swim 2pc,Swim,11.821428571428571
2026-05-22,84608-6AL-130,16.0,0.0,3.0714285714285716,5.571428571428571,4.178571428571429,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.821428571428571
2026-05-22,84090-5KP-140,19.0,0.0,8.178571428571429,9.571428571428571,7.178571428571429,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.821428571428571
2026-06-01,58663-4TA-L,1.0,8.0,9.285714285714286,14.428571428571429,12.821428571428571,True,Kids Unders,U B underwear,U B unders bottom,Underwear,11.821428571428571
2026-05-19,83154-4QH-140,3.0,49.0,3.4285714285714284,2.5714285714285716,14.821428571428571,True,Kids Unisex Sleep,S KU non cotton,S KU non cttn PJ,Sleep,11.821428571428571
2026-06-03,58663-4SX-M,4.0,35.0,5.964285714285714,9.428571428571429,15.821428571428571,True,Kids Unders,U B underwear,U B unders bottom,Underwear,11.821428571428571
2026-05-18,84434-66I-85,16.0,0.0,3.8214285714285716,5.571428571428571,4.178571428571429,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.821428571428571
2026-06-02,84460-65Z-110,9.0,4.0,19.214285714285715,26.428571428571427,20.82142857142857,True,Girls,G dress,G SL dress,Dress,11.82142857142857
