Division,Department,Class,ForecastName,Rows,ActualUnits,ForecastUnits,BiasUnits,BiasPct,WAPE,ZeroForecastSoldUnits,ZeroForecastSoldUnitPct
Collab Sleepwear,CS Kids Unisex sleep,CS KU LJ,HybridBaselineQty,6603,5269.0,8602.615615816361,3333.6156158163612,0.6326846870025358,1.2768902390190855,50.0,0.00948946669197191
Baby Apparel,Bby 1pc,Bby SL 1pc,HybridBaselineQty,2550,5249.0,6222.024941139778,973.0249411397781,0.18537339324438523,0.8039813980979276,0.0,0.0
Girls,G swimwear,G swim cover up,HybridBaselineQty,1443,4783.0,4289.419642857143,-493.5803571428569,-0.10319472237985718,0.5632616259968339,0.0,0.0
Baby Apparel,Bby top,Bby SS top,HybridBaselineQty,1935,4631.0,4506.491133517999,-124.5088664820014,-0.02688595691686491,0.6473137077601921,26.0,0.0056143381559058516
Collab Sleepwear,CS Kids Unisex sleep,CS KU SJ,HybridBaselineQty,3251,4570.0,4681.412633738661,111.41263373866059,0.024379132109116103,0.8050382206011562,26.0,0.0056892778993435445
Boys,B short,B k short,HybridBaselineQty,1847,4487.0,4139.825946742876,-347.1740532571239,-0.0773733125155168,0.6194873146040346,0.0,0.0
Baby Apparel,Bby swimwear,Bby swim 2pc,HybridBaselineQty,2703,4477.0,4400.981463269412,-76.01853673058758,-0.016979793774980476,0.7820953037372518,0.0,0.0
Girls,G short,G w short,HybridBaselineQty,845,4323.0,3794.266865079365,-528.7331349206352,-0.12230699396729937,0.5573342934984157,0.0,0.0
Boys,B top,B LS top,HybridBaselineQty,6114,4274.0,6515.588759030488,2241.5887590304883,0.52447093098514,1.2970714130090915,1.0,0.0002339728591483388
Girls,G sets,G SS set,HybridBaselineQty,2650,3947.0,3848.1901867844504,-98.80981321554964,-0.025034155869153696,0.7575194986375431,24.0,0.006080567519635166
Girls,G skirt,G k skirt,HybridBaselineQty,1753,3875.0,3710.770587227418,-164.22941277258178,-0.04238178394131143,0.6454283696137036,0.0,0.0
Boys,B pant,B k pant,HybridBaselineQty,3178,3867.0,7463.742686932586,3596.7426869325864,0.9301118921470355,1.4938053453545574,0.0,0.0
Kids Unisex,KU pant,KU w pant,HybridBaselineQty,1655,3412.0,3449.0667982560917,37.066798256091715,0.01086365716767049,0.7241993742819951,0.0,0.0
Kids Unisex Sleep,S KU non cotton,S KU non cttn PJ,HybridBaselineQty,4706,3294.0,8128.008529785432,4834.008529785432,1.4675192865165245,2.0433823275435,8.0,0.0024286581663630845
Girls,G 1pc,G SL 1pc,HybridBaselineQty,1750,3161.0,2855.6757027812564,-305.3242972187436,-0.09659104625711598,0.7107386540506287,5.0,0.0015817779183802593
Baby Apparel,Bby pant,Bby k pant,HybridBaselineQty,2634,3065.0,4507.338625776398,1442.3386257763977,0.470583564690505,1.101262158917046,23.0,0.007504078303425775
Kids Accessories,KA sock,KA sock misc,HybridBaselineQty,743,2806.0,2499.8660714285716,-306.13392857142844,-0.10909976071683124,0.6145727268098972,0.0,0.0
Baby Apparel,Bby 1pc,Bby SS 1pc,HybridBaselineQty,869,2758.0,2970.400289227681,212.4002892276808,0.07701243264237882,0.7157092396223619,0.0,0.0
Collab Apparel,C Girl,C G dress,HybridBaselineQty,2318,2714.0,3266.325365374668,552.3253653746679,0.2035097145816757,0.8780915827929126,16.0,0.0058953574060427415
