Candidate,Velocity,SlotTier,RequiredSlotsTotal
hybrid_5pct,B,KNIXB,20.9
hybrid_5pct,B,CSLXB,19.8
hybrid_5pct,A,CSLXA,18.700000000000003
hybrid_5pct,AA,BSLXAA,18.700000000000003
hybrid_5pct,B,BSLXB,18.700000000000003
hybrid_5pct,B,COLXB,18.700000000000003
hybrid_5pct,B,KNILB,17.6
hybrid_5pct,C,KUNXC,17.6
hybrid_5pct,AA,BOYXAA,16.5
hybrid_5pct,AA,KUNXAA,16.5
hybrid_5pct,B,CSLMB,16.5
hybrid_5pct,B,CSLSB,16.5
hybrid_5pct,A,COLMA,15.400000000000002
hybrid_5pct,A,COLXA,15.400000000000002
hybrid_5pct,AA,KNILAA,15.400000000000002
hybrid_5pct,AA,KNIXAA,15.400000000000002
hybrid_5pct,B,KNISB,15.400000000000002
hybrid_5pct,C,ASLSC,15.400000000000002
hybrid_5pct,C,ACCSC,14.3
hybrid_5pct,C,KUNSC,14.3
hybrid_5pct,A,CSLLA,13.2
hybrid_5pct,A,CSLSA,13.2
hybrid_5pct,B,ASLXB,13.2
hybrid_5pct,C,KUNMC,12.1
hybrid_5pct,B,COLLB,11.0
hybrid_5pct,AA,COLSAA,9.9
hybrid_5pct,B,ACCSB,9.9
hybrid_5pct,B,ASLSB,9.9
hybrid_5pct,B,COLMB,9.9
hybrid_5pct,B,CSLIB,9.9
hybrid_5pct,C,ACCXC,9.9
hybrid_5pct,C,CSLLC,9.9
hybrid_5pct,C,ACCMC,8.8
hybrid_5pct,C,COLLC,8.8
hybrid_5pct,A,ASLLA,7.700000000000001
hybrid_5pct,A,COLLA,7.700000000000001
hybrid_5pct,AA,COLXAA,7.700000000000001
hybrid_5pct,C,ACCLC,7.700000000000001
hybrid_5pct,A,CSLIA,6.6000000000000005
hybrid_5pct,A,KUNLA,6.6000000000000005
hybrid_5pct,AA,COLMAA,6.6000000000000005
hybrid_5pct,B,KUNMB,6.6000000000000005
hybrid_5pct,A,KUNMA,5.5
hybrid_5pct,AA,CSLSAA,5.5
hybrid_5pct,B,ACCLB,5.5
hybrid_5pct,B,COLSB,5.5
hybrid_5pct,B,KUSIB,5.5
hybrid_5pct,C,COLIC,5.5
hybrid_5pct,A,ASLSA,4.4
hybrid_5pct,A,COLIA,4.4
hybrid_5pct,A,KUNXA,4.4
hybrid_5pct,AA,ACCLAA,4.4
hybrid_5pct,AA,ACCMAA,4.4
hybrid_5pct,C,AAPLC,4.4
hybrid_5pct,C,AAPMC,4.4
hybrid_5pct,C,BAPSC,4.4
hybrid_5pct,C,BSLLC,4.4
hybrid_5pct,C,BSLSC,4.4
hybrid_5pct,A,ACCSA,3.3000000000000003
hybrid_5pct,A,ASLMA,3.3000000000000003
hybrid_5pct,A,BSLMA,3.3000000000000003
hybrid_5pct,A,KUNSA,3.3000000000000003
hybrid_5pct,AA,CSLXAA,3.3000000000000003
hybrid_5pct,B,ACCXB,3.3000000000000003
hybrid_5pct,B,ASLMB,3.3000000000000003
hybrid_5pct,C,AAPSC,3.3000000000000003
hybrid_5pct,C,BSLMC,3.3000000000000003
hybrid_5pct,A,ACCIA,2.2
hybrid_5pct,A,ACCLA,2.2
hybrid_5pct,A,ACCXA,2.2
hybrid_5pct,AA,AAPMAA,2.2
hybrid_5pct,AA,ASLSAA,2.2
