Candidate,SKU,ForecastDays,SoldDays,ForecastUnits,SoldUnits,AbsErrorUnits,UnderForecastUnits,OverForecastUnits,ZeroForecastSoldUnits,ForecastNoSaleUnits,BiasUnitsForecastMinusActual,BiasPct,WAPE,SoldUnitCoveragePct,InventorySnapshotDays,DaysWithPickableInventory,MinPickfacePhysicalQty,MaxPickfacePhysicalQty,AvgPickfacePhysicalQty,AnyPickableInventory,AllObservedDaysNoPickableInventory
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,84460-5ZU-110,8,8,41.0,193.0,152.0,152.0,0.0,0.0,0.0,-152.0,-0.7875647668393783,0.7875647668393783,1.0,7,7,14.0,81.0,49.57142857142857,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,84505-5ZY-130,8,8,41.0,192.0,151.0,151.0,0.0,0.0,0.0,-151.0,-0.7864583333333334,0.7864583333333334,1.0,7,7,33.0,81.0,61.857142857142854,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,84620-5ZU-120,8,8,35.0,186.0,151.0,151.0,0.0,0.0,0.0,-151.0,-0.8118279569892473,0.8118279569892473,1.0,7,7,8.0,90.0,54.42857142857143,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,60363-5MC-120,1,8,1.0,149.0,148.0,148.0,0.0,121.0,0.0,-148.0,-0.9932885906040269,0.9932885906040269,0.18791946308724833,7,7,40.0,140.0,94.57142857142857,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,82606-5NA-120,8,8,14.0,162.0,148.0,148.0,0.0,0.0,0.0,-148.0,-0.9135802469135802,0.9135802469135802,1.0,7,7,5.0,135.0,72.57142857142857,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,67848-5ZE-100,8,8,29.0,175.0,146.0,146.0,0.0,0.0,0.0,-146.0,-0.8342857142857143,0.8342857142857143,1.0,7,7,22.0,101.0,59.857142857142854,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,84171-5MO-70,2,8,2.0,148.0,146.0,146.0,0.0,100.0,0.0,-146.0,-0.9864864864864865,0.9864864864864865,0.32432432432432434,7,7,14.0,61.0,40.57142857142857,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,84505-5ZY-90,1,8,1.0,147.0,146.0,146.0,0.0,124.0,0.0,-146.0,-0.9931972789115646,0.9931972789115646,0.1564625850340136,7,7,30.0,118.0,79.57142857142857,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,84460-65Z-120,8,8,39.0,182.0,143.0,143.0,0.0,0.0,0.0,-143.0,-0.7857142857142857,0.7857142857142857,1.0,7,7,27.0,98.0,59.714285714285715,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,67848-5HO-120,8,8,23.0,162.0,141.0,140.0,1.0,0.0,0.0,-139.0,-0.8580246913580247,0.8703703703703703,1.0,7,7,19.0,89.0,53.285714285714285,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,84082-6AB-100,8,8,31.0,169.0,138.0,138.0,0.0,0.0,0.0,-138.0,-0.8165680473372781,0.8165680473372781,1.0,7,7,6.0,65.0,33.857142857142854,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,84306-5ZU-75,8,8,14.0,151.0,137.0,137.0,0.0,0.0,0.0,-137.0,-0.9072847682119205,0.9072847682119205,1.0,7,7,3.0,134.0,70.28571428571429,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,84082-6AB-90,8,8,15.0,150.0,137.0,136.0,1.0,0.0,0.0,-135.0,-0.9,0.9133333333333333,1.0,6,6,9.0,67.0,42.0,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,60363-5NY-110,1,8,1.0,137.0,136.0,136.0,0.0,119.0,0.0,-136.0,-0.9927007299270073,0.9927007299270073,0.13138686131386862,7,7,67.0,174.0,126.28571428571429,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,58660-4PX-S,2,8,2.0,135.0,133.0,133.0,0.0,72.0,0.0,-133.0,-0.9851851851851852,0.9851851851851852,0.4666666666666667,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,84460-65Z-110,8,8,29.0,162.0,133.0,133.0,0.0,0.0,0.0,-133.0,-0.8209876543209876,0.8209876543209876,1.0,7,7,11.0,98.0,51.42857142857143,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,67848-5ZA-110,2,8,2.0,133.0,131.0,131.0,0.0,92.0,0.0,-131.0,-0.9849624060150376,0.9849624060150376,0.3082706766917293,7,7,15.0,89.0,57.57142857142857,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,83403-5MK-75,8,7,44.0,168.0,136.0,130.0,6.0,0.0,5.0,-124.0,-0.7380952380952381,0.8095238095238095,1.0,4,4,2.0,72.0,39.5,True,False
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,84082-6DC-120,8,8,37.0,167.0,130.0,130.0,0.0,0.0,0.0,-130.0,-0.7784431137724551,0.7784431137724551,1.0,7,7,5.0,86.0,56.857142857142854,True,False
