SKU,FD1ToFD14Units,ML14DayForecastUnits,Recent14DayUnits,SelectedByMLThreshold,RecentFallbackWeight
58660-4ON-XL,90,89.84406689205922,42.03247649119749,True,0.0
65642-5LG-100,90,89.63538595181436,210.16238245598745,True,0.0
82576-2PQ-85,90,90.12829665688392,0.0,True,0.0
84460-61J-110,90,89.63538595181436,214.39050139297183,True,0.0
84641-60J-130,90,89.65145556508207,74.36515071519557,True,0.0
80441-A91-120,89,89.15491450261239,128.8332711387,True,0.0
82718-65Z-120,89,89.09187454418822,50.240001486520086,True,0.0
82719-5ZU-100,89,89.43109924732366,55.96039769538129,True,0.0
82719-5ZU-90,89,88.54646442291279,36.06336740369016,True,0.0
84448-61J-100,89,88.58231747203402,106.94653781783978,True,0.0
84561-48B-70,89,88.57992089702152,63.42178405476545,True,0.0
84603-5KS-100,89,89.33253149141612,45.265743913597305,True,0.0
84603-5KS-130,89,89.09187454418822,56.20911057402742,True,0.0
58662-4SM-S,88,87.73566447757398,58.198813603196534,True,0.0
58663-4SX-L,88,88.387768508537,48.99643709328939,True,0.0
80617-5ZU-80,88,87.52353016943535,101.972280244917,True,0.0
84338-5VT-110,88,87.81113693296415,31.835248466705792,True,0.0
84428-6GE-120,88,87.52353016943535,89.03921055531777,True,0.0
84460-61J-130,88,88.06826468232975,140.02535067777626,True,0.0
84492-5WH-90,88,88.10090197052422,69.14218026362666,True,0.0
82719-5XW-110,87,87.2308863336909,74.36515071519557,True,0.0
84091-5UF-130,87,86.66968369578166,0.0,True,0.0
43205-5HC-100,86,86.49235615530573,163.40436127051333,True,0.0
81700-5ZA-110,86,86.48791982536197,137.28950901266876,True,0.0
82778-5HB-120,86,86.0743553349869,78.84198253082607,True,0.0
82788-5XF-120,86,85.76833701743585,79.83683404541063,True,0.0
83000-1SA-70,86,86.48468550057785,83.81624010374885,True,0.0
84338-5VT-120,86,86.46633396746796,35.31722876775174,True,0.0
84434-65K-120,86,86.18689331151809,108.68752796836276,True,0.0
84603-5KS-120,86,85.70312412458125,52.22970451568919,True,0.0
52309-4SL-M,85,85.15351902817196,80.8316855599952,True,0.0
67563-A91-120,85,84.94961279592425,70.88317041414962,True,0.0
81700-5ZE-120,85,85.21453835648617,100.23129009439403,True,0.0
82719-5XW-120,85,85.41899052288514,78.84198253082607,True,0.0
84204-5OV-S,85,85.41899052288514,110.42851811888573,True,0.0
84505-5ZU-130,85,85.1093362147912,173.3528764163589,True,0.0
58660-4PQ-S,84,84.40892221672779,185.29109459137356,True,0.0
81718-6GT-120,84,84.41940693795121,110.17980524023959,True,0.0
82778-5HR-140,84,84.3387292483706,99.23643857980947,True,0.0
84525-6AW-M,84,83.75955314944794,53.72198178756603,True,0.0
59852-VK6-150,83,82.87496753911795,0.0,True,0.0
67404-1HA-100,83,82.58247440061338,0.0,True,0.0
82778-5HR-150,83,82.91538392638748,72.87287344331872,True,0.0
82912-2RO-90,83,82.58759918526462,163.65307414915947,True,0.0
84426-6GT-70,83,83.04434579303161,67.89861587039596,True,0.0
84460-64A-90,82,82.00568907888764,93.018616613656,True,0.0
84460-6GS-130,82,81.58693452081401,120.12832038608515,True,0.0
84460-6GS-90,82,82.00568907888764,156.6891135470676,True,0.0
84460-6GW-120,82,81.70218934603953,197.4780256450344,True,0.0
58661-4NA-XS,81,81.14769827530077,46.509308306828,True,0.0
58665-011-S,81,80.52754415360504,50.9861401224585,True,0.0
82719-5ZU-130,81,80.80252394635934,51.23485300110464,True,0.0
83117-1SE-120,81,80.89734048985623,0.0,True,0.0
84082-6DC-130,81,81.33169549405633,135.54851886214578,True,0.0
84349-5VS-110,81,81.33169549405633,31.586535588059654,True,0.0
84376-5UR-50,81,80.76954777736017,0.0,True,0.0
84606-5ZU-130,81,80.80030912644095,68.64475450633438,True,0.0
84628-6GV-100,81,81.18080602617428,86.80079464750251,True,0.0
84638-68I-130,81,80.80030912644095,60.18851663236564,True,0.0
66973-2CX-150,80,80.15609541531992,0.0,True,0.0
67515-4NA-S,80,80.49162978885772,79.5881211667645,True,0.0
67522-5SC-130,80,79.82412545804621,112.1695082694087,True,0.0
80467-5M5-140,80,79.85867220074996,8.953663631261005,True,0.0
82776-5XV-120,80,80.07532814928328,115.90020144910079,True,0.0
82788-5XH-100,80,79.82412545804621,82.07524995322588,True,0.0
83146-3IW-XXL,80,80.46117122083628,0.0,True,0.0
84605-SR4-110,80,79.82412545804621,54.468120423504445,True,0.0
82788-5XH-140,79,79.05418094086716,62.178219661534754,True,0.0
83403-4NE-75,79,79.03715212770928,0.0,True,0.0
84434-6BL-150,79,79.05418094086716,59.19366511778109,True,0.0
45346-5HB-110,78,77.69104390151425,214.39050139297183,True,0.0
80581-177-XXL,78,77.83146016457867,0.0,True,0.0
80617-6EA-75,78,77.63371310838751,131.3203999251614,True,0.0
82778-5HR-100,78,78.22487654777422,114.40792417722395,True,0.0
84082-6AN-130,78,77.68391232973143,106.94653781783978,True,0.0
84460-6GS-120,78,78.48278323578559,285.27367180712145,True,0.0
84606-5ZU-120,78,77.83002624184711,78.59326965217994,True,0.0
58660-4PX-L,77,77.03231624673131,84.31366586104113,True,0.0
58663-4T4-L,77,77.03231624673131,86.30336889021024,True,0.0
67377-015-130,77,77.04871198531868,132.5639643183921,True,0.0
81700-5ZA-130,77,76.9381833408569,94.26218100688669,True,0.0
82449-247-110,77,77.00097754020588,0.0,True,0.0
84434-66I-120,77,76.93904753593783,145.74574688663745,True,0.0
84460-6GW-100,77,76.8930060116765,156.93782642571372,True,0.0
84628-6GV-140,77,76.7899808762441,72.37544768602646,True,0.0
43205-GK3-120,76,76.4256999347195,151.7148559741448,True,0.0
82718-5XA-120,76,76.33018422722641,73.86772495790329,True,0.0
82719-5XD-110,76,76.16056681246447,82.32396283187201,True,0.0
82778-M07-140,76,75.8982642115259,39.29663482608997,True,0.0
82891-1SA-120,76,75.6836437574099,79.09069540947222,True,0.0
82912-2RO-130,76,76.4256999347195,149.47644006632956,True,0.0
83403-5MK-75,76,76.28528202245154,82.32396283187201,True,0.0
83404-2ZC-75,76,76.02476097368363,85.55723025427183,True,0.0
84433-67K-140,76,75.91981743138537,111.67208251211642,True,0.0
84434-66I-100,76,76.19277869830195,113.4130726626394,True,0.0
84505-5ZU-140,76,76.27861648164874,94.26218100688669,True,0.0
84553-64J-70,76,76.23383675398802,83.31881434645658,True,0.0
84619-1WC-130,76,75.91981743138537,77.59841813759537,True,0.0
84641-60J-100,76,76.09605458038241,60.18851663236564,True,0.0
84645-6OW-90,76,75.66376105204783,12.933069689599229,True,0.0
43205-5HC-110,75,74.79103039980205,195.73703549451142,True,0.0
67848-5ZE-130,75,74.99957435792189,87.2982204047948,True,0.0
82453-2KD-85,75,75.18191265391965,0.0,True,0.0
82718-65Z-100,75,75.05803016879652,39.29663482608997,True,0.0
82719-5XD-90,75,74.76381057138283,37.555644675566995,True,0.0
82788-5XH-110,75,75.49962226444714,93.51604237094827,True,0.0
82788-6DC-110,75,74.5030928633472,68.39604162768823,True,0.0
83077-3F3-110,75,75.1243699777824,0.0,True,0.0
83077-3F3-120,75,74.79647139153126,0.0,True,0.0
83992-5DD-60,75,74.94042448853158,0.0,True,0.0
84428-6GQ-120,75,75.016254565112,114.15921129857782,True,0.0
84553-5ZO-70,75,75.20724494078311,94.51089388553282,True,0.0
84561-48B-85,75,75.4185972976841,82.82138858916429,True,0.0
47761-2NS-90,74,74.10805332731803,0.0,True,0.0
66973-32H-150,74,74.1176937773702,0.0,True,0.0
80617-5ZU-75,74,73.77681408621123,112.1695082694087,True,0.0
84434-65K-130,74,74.17584581427005,105.95168630325522,True,0.0
84528-1SA-130,74,73.62208410171296,51.98099163704306,True,0.0
84619-1WC-120,74,73.82221597883623,78.3445567735338,True,0.0
82788-5XF-110,73,72.97695494978719,76.10614086571854,True,0.0
84349-5VS-130,73,72.88930957178896,17.90732726252201,True,0.0
58663-011-M,72,71.87408185430674,80.8316855599952,True,0.0
82718-5XD-130,72,72.35450449102808,38.05307043285927,True,0.0
82718-6GW-130,72,71.88688588431435,30.840396952121242,True,0.0
82721-6GW-130,72,71.52586721537259,41.783763612551354,True,0.0
82788-6EX-120,72,71.87408185430674,61.18336814695021,True,0.0
83403-4KH-50,72,72.35085755141213,0.0,True,0.0
84159-5KC-80,72,72.12131403051636,6.4665348447996145,True,0.0
84426-68I-75,72,71.87408185430674,72.37544768602646,True,0.0
84434-6AT-140,72,72.23583580123238,76.60356662301082,True,0.0
84460-5ZO-90,72,71.85224982721428,203.69584761118787,True,0.0
84460-5ZU-110,72,72.18288080239878,243.98733395186238,True,0.0
84460-6GW-90,72,71.85224982721428,133.8075287116228,True,0.0
84505-5ZY-130,72,72.21783882967716,58.447526481842665,True,0.0
84538-6GW-80,72,72.43611095330672,50.240001486520086,True,0.0
84662-1NV-100,72,72.10399927015263,133.55881583297665,True,0.0
58660-4NA-XS,71,70.77998468134228,127.83841962411546,True,0.0
67522-5SB-120,71,71.36792367834255,87.79564616208708,True,0.0
82721-5ZU-120,71,71.17980413838579,48.74772421464325,True,0.0
82731-5XA-70,71,70.75011411624686,69.39089314227279,True,0.0
82777-5HB-120,71,71.14726230872381,80.33425980270292,True,0.0
82788-6GT-110,71,71.01573989281574,50.737427243812355,True,0.0
82897-1SA-110,71,71.3170711510241,63.91920981205773,True,0.0
83110-44B-90,71,70.76050153184349,0.0,True,0.0
84348-5VS-120,71,70.5570998428036,48.25029845735097,True,0.0
84432-6FN-75,71,71.16937740682353,78.09584389488765,True,0.0
84460-5ZO-130,71,71.23660652371541,174.84515368823574,True,0.0
84525-6AW-S,71,70.95235453539684,58.447526481842665,True,0.0
84544-68I-80,71,71.01573989281574,46.509308306828,True,0.0
84577-5KS-80,71,70.89681134197342,2.4871287864613905,True,0.0
82301-990-60,70,70.4440598956052,0.0,True,0.0
82717-5XW-75,70,70.3828699856605,66.15762571987298,True,0.0
