Date,remaining_volume_units,units_shipped_goal,shipped_units_powerbi,forecasted_demand_units,ops_imf_plan_forecasted_units,actual_demand_units,percentage_demand_vs_forecast,plan_vs_actual_demand_pct,powerbi_vs_actual_demand_pct,kpi_forecasted_demand_units,kpi_minus_actual_demand_units
2025-04-25,14095.0,25000,28131,23120.971326800678,,23121.0,1.0000012401381808,,1.216686129492669,23120.971326800678,-0.028673199321929133
2025-04-26,9085.0,16000,13897,25643.010626130403,,25643.0,0.9999995856129938,,0.5419412705221698,25643.010626130403,0.010626130402670242
2025-04-27,20831.0,28000,28284,37111.97297448384,,37112.0,1.0000007282155594,,0.7621254580728606,37111.97297448384,-0.02702551615948323
2025-04-28,30198.0,36000,37301,21535.016882493084,,21535.0,0.9999992160445856,,1.732110517761783,21535.016882493084,0.01688249308426748
2025-04-29,14432.0,20000,21227,19741.98631957526,,19742.0,1.0000006929609067,,1.0752203424171816,19741.98631957526,-0.013680424741323804
2025-04-30,12947.0,20000,23434,51722.96119946844,,51723.0,1.0000007501606765,,0.45306730081395125,51722.96119946844,-0.038800531561719254
2025-05-01,41236.0,32000,35077,33240.046488783606,,33240.0,0.9999986014224251,,1.0552647412755716,33240.046488783606,0.04648878360603703
2025-05-02,39399.0,22000,24513,29608.00033435629,,29608.0,0.9999999887072316,,0.8279181302350715,29608.00033435629,0.0003343562893860508
2025-05-03,44494.0,16000,13966,44080.06122501873,,44080.0,0.9999986110495985,,0.3168330308529946,44080.06122501873,0.06122501873323927
2025-05-04,74608.0,28000,28310,23459.01725594903,,23459.0,0.9999992644214869,,1.20678630802677,23459.01725594903,0.017255949031095952
2025-05-05,73472.0,36000,37087,29840.98428613385,,29841.0,1.0000005265867238,,1.2428202808216884,29840.98428613385,-0.015713866148871602
2025-05-06,66226.0,26000,30746,24430.017393565624,,24430.0,0.9999992880248366,,1.2585345886205486,24430.017393565624,0.017393565623933682
2025-05-07,59910.0,26000,27300,8759.006311081068,,8759.0,0.9999992794752232,,3.1167941545838564,8759.006311081068,0.006311081067906343
2025-05-08,41369.0,26000,24172,8461.006925615111,,8461.0,0.9999991814667957,,2.8568727100815505,8461.006925615111,0.006925615110958461
2025-05-09,25658.0,15000,14813,12120.990548458445,,12120.990548458445,1.0,,1.222094839590806,12120.990548458445,0.0
2025-05-10,22965.990548458445,15000,15480,10334.005907992341,,10334.005907992341,1.0,,1.497967016646249,10334.005907992341,0.0
2025-05-11,17819.996456450786,0,0,12744.986319979353,,12744.986319979353,1.0,,0.0,12744.986319979353,0.0
2025-05-12,30564.982776430137,32000,26738,10368.005324461259,,10368.005324461259,1.0,,2.5788952805528536,10368.005324461259,0.0
2025-05-13,14194.988100891396,14000,15489,9480.995218585607,,9481.0,1.0000005043156632,,1.63368842949056,9480.995218585607,-0.0047814143927098485
2025-05-14,8186.988100891396,10000,11507,10411.00933400182,,10411.0,0.999999103448905,,1.1052732686581501,10411.00933400182,0.009334001819297555
2025-05-15,7090.988100891396,9000,11150,9269.993712445572,,9270.0,1.000000678269546,,1.202804746494067,9269.993712445572,-0.006287554428126896
