Division,Department,Class,SKUs,FDUnits,MLUnits,RecentUnits,MLSelectedSKUs
Baby Apparel,Bby swimwear,Bby swim 2pc,143,3558,4329.157831485552,1796.3973201608642,74
Kids Unisex,KU pant,KU w pant,101,3300,3910.378694300675,1647.1014824356762,48
Girls,G skirt,G k skirt,88,3278,3489.0859034343025,1988.1067481488894,58
Kids Unisex Sleep,S KU non cotton,S KU non cttn PJ,330,3138,4697.78340010463,2791.541329413496,57
Kids Accessories,KA sock,KA sock misc,49,2868,2993.130623654685,1336.149274965845,39
Collab Sleepwear,CS Kids Unisex sleep,CS KU SJ,215,2866,4187.603006158329,2088.4451845421163,72
Baby Apparel,Bby sets,Bby LS set,200,2805,4041.5068433483225,1030.5290617004848,63
Girls,G 1pc,G SL 1pc,88,2787,3169.7652534982362,1284.768239904579,47
Baby Apparel,Bby bodysuit,Bby SS bodysuit,34,2563,2623.7253599071096,816.7645667757841,27
Baby Apparel,Bby pant,Bby k pant,139,2449,3149.7990863849705,1454.1802375829984,56
Kids Unisex,KU sets,KU SS set,75,2357,2782.716374597423,602.0306183593614,44
Girls,G top,G LS top,185,2241,3175.7082653773286,1025.197067496014,55
Collab Apparel,C Girl,C G dress,139,2113,3002.0640298154813,1481.0825719782838,43
Baby Apparel,Bby 1pc,Bby SS 1pc,75,2095,2595.210328536705,2152.9138417416293,27
Collab Sleepwear,CS Baby sleep,CS Bby footless,148,2007,2699.6332791200175,989.5696516752305,42
Baby Apparel,Bby swimwear,Bby swim 1pc,68,1995,2419.5745342489204,1078.2746461677934,32
Boys,B pant,B w pant,182,1914,2975.67844952706,1335.4221848470536,53
Baby Apparel,Bby dress,Bby SL dress set,53,1875,2064.9991852601343,1223.2079431802322,29
Kids Unisex Sleep,S KU non cotton,S KU non cttn nightgown,91,1859,2287.5061500452484,879.0519536189225,38
Baby Apparel,Bby short,Bby k short,29,1842,1882.7671630018363,644.9289353680598,26
Baby Apparel,Bby pant,Bby w pant,52,1811,1994.4303443636275,1054.280672247674,29
Collab Accessories,CA underwear,CA G underwear,38,1772,1899.3359656571927,1074.1544688279748,21
Adult Sleep,S W sleepwear,S W pajama,338,1582,3720.0032470184947,1491.7465603872258,45
Boys,B sets,B SS set,69,1448,1899.6482640663796,600.8188014947089,29
Baby Apparel,Bby sets,Bby SL set,46,1439,1694.7382202198387,667.9534557964573,21
Baby Apparel,Bby bodysuit,Bby LS bodysuit,66,1362,1750.9990320578968,704.0655983631017,27
Kids Unisex Sleep,S KU SJ,S KU SJ stripe,38,1287,1339.7601885947074,409.35173687961407,18
Baby Apparel,Bby dress,Bby SS dress,124,1242,2140.5046986224306,813.1291161818266,29
Girls,G pant,G w pant,160,1239,2139.516567692281,1331.302007507235,36
